"fecha","Santa Cruz","Güer Aike","Lago Argentino"
2020-04-09,1,1,0
2020-04-10,1,1,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,1,0,1
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,2,1,0
2020-04-21,1,1,0
2020-04-22,1,0,0
2020-04-23,4,0,0
2020-04-24,1,0,1
2020-04-25,0,0,0
2020-04-26,2,0,0
2020-04-27,1,1,0
2020-04-28,1,1,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,1,1,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,2,1,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,1,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,1,0,0
2020-05-25,0,0,0
2020-05-26,1,1,0
2020-05-27,1,0,0
2020-05-28,2,1,0
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,2,0,1
2020-06-04,1,1,0
2020-06-05,1,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,0,0,0
2020-06-10,0,0,0
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,2,1,0
2020-06-14,0,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,1,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,3,2,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,2,2,0
2020-06-27,1,1,0
2020-06-28,0,0,0
2020-06-29,3,2,0
2020-06-30,1,0,0
2020-07-01,1,0,1
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,3,3,0
2020-07-06,5,4,1
2020-07-07,3,1,1
2020-07-08,8,5,3
2020-07-09,6,6,0
2020-07-10,9,8,0
2020-07-11,10,8,1
2020-07-12,17,17,0
2020-07-13,17,17,0
2020-07-14,23,22,0
2020-07-15,19,17,2
2020-07-16,39,37,2
2020-07-17,31,31,0
2020-07-18,52,50,0
2020-07-19,22,21,1
2020-07-20,29,27,0
2020-07-21,33,33,0
2020-07-22,23,23,0
2020-07-23,21,21,0
2020-07-24,20,19,0
2020-07-25,25,24,0
2020-07-26,28,26,1
2020-07-27,26,23,3
2020-07-28,24,24,0
2020-07-29,26,22,1
2020-07-30,30,21,5
2020-07-31,32,26,6
2020-08-01,64,52,10
2020-08-02,35,23,10
2020-08-03,38,28,10
2020-08-04,39,25,13
2020-08-05,40,30,10
2020-08-06,33,26,6
2020-08-07,26,22,3
2020-08-08,34,30,4
2020-08-09,52,44,5
2020-08-10,63,51,11
2020-08-11,31,25,5
2020-08-12,51,49,1
2020-08-13,38,35,2
2020-08-14,32,30,2
2020-08-15,43,42,0
2020-08-16,46,40,1
2020-08-17,53,50,1
2020-08-18,54,48,2
2020-08-19,95,81,0
2020-08-20,75,74,0
2020-08-21,55,51,1
2020-08-22,48,46,1
2020-08-23,51,50,0
2020-08-24,81,77,3
2020-08-25,74,70,2
2020-08-26,68,67,0
2020-08-27,65,57,6
2020-08-28,74,67,5
2020-08-29,74,65,5
2020-08-30,84,77,6
2020-08-31,90,82,6
2020-09-01,109,98,8
2020-09-02,70,63,7
2020-09-03,114,92,18
2020-09-04,106,96,4
2020-09-05,111,103,6
2020-09-06,85,75,8
2020-09-07,118,103,11
2020-09-08,108,90,11
2020-09-09,107,75,8
2020-09-10,111,93,14
2020-09-11,105,90,10
2020-09-12,102,88,11
2020-09-13,93,73,13
2020-09-14,102,82,18
2020-09-15,92,74,12
2020-09-16,97,69,16
2020-09-17,94,67,18
2020-09-18,103,84,9
2020-09-19,111,90,14
2020-09-20,97,88,7
2020-09-21,122,80,26
2020-09-22,120,82,22
2020-09-23,108,83,13
2020-09-24,130,92,16
2020-09-25,155,125,16
2020-09-26,128,103,11
2020-09-27,126,98,14
2020-09-28,131,98,12
2020-09-29,141,99,17
2020-09-30,127,88,16
2020-10-01,146,97,18
2020-10-02,130,92,15
2020-10-03,113,77,16
2020-10-04,136,97,19
2020-10-05,137,89,11
2020-10-06,148,95,14
2020-10-07,136,83,17
2020-10-08,154,104,10
2020-10-09,149,111,10
2020-10-10,134,93,24
2020-10-11,139,85,15
2020-10-12,170,94,9
2020-10-13,159,102,28
2020-10-14,169,100,15
2020-10-15,186,114,20
2020-10-16,153,108,8
2020-10-17,125,80,11
2020-10-18,179,110,18
2020-10-19,188,104,15
2020-10-20,206,98,25
2020-10-21,164,82,19
2020-10-22,192,92,21
2020-10-23,200,105,22
2020-10-24,200,102,17
2020-10-25,179,88,22
2020-10-26,183,90,19
2020-10-27,207,93,21
2020-10-28,187,62,26
2020-10-29,177,76,23
2020-10-30,212,98,17
2020-10-31,129,53,15
2020-11-01,204,87,24
2020-11-02,211,71,29
2020-11-03,217,65,17
2020-11-04,257,63,22
2020-11-05,218,63,11
2020-11-06,210,65,7
2020-11-07,221,66,24
2020-11-08,179,47,14
2020-11-09,237,69,11
2020-11-10,243,67,17
2020-11-11,219,63,5
2020-11-12,250,46,28
2020-11-13,262,53,22
2020-11-14,235,52,28
2020-11-15,202,48,12
2020-11-16,276,43,19
2020-11-17,247,43,17
2020-11-18,255,52,22
2020-11-19,237,33,19
2020-11-20,239,34,20
2020-11-21,214,30,16
2020-11-22,193,34,20
2020-11-23,215,33,21
2020-11-24,219,44,27
2020-11-25,206,36,14
2020-11-26,246,43,19
2020-11-27,187,38,26
2020-11-28,171,28,25
2020-11-29,192,31,35
2020-11-30,236,36,34
2020-12-01,234,42,30
2020-12-02,193,30,22
2020-12-03,220,39,17
2020-12-04,220,24,42
2020-12-05,197,31,39
2020-12-06,217,37,33
2020-12-07,247,42,36
2020-12-08,248,43,37
2020-12-09,236,50,33
2020-12-10,244,40,31
2020-12-11,275,46,34
2020-12-12,264,49,27
2020-12-13,257,65,30
2020-12-14,233,51,36
2020-12-15,286,60,27
2020-12-16,320,66,38
2020-12-17,245,39,24
2020-12-18,247,66,28
2020-12-19,237,62,26
2020-12-20,232,56,22
2020-12-21,272,45,24
2020-12-22,272,74,17
2020-12-23,232,65,20
2020-12-24,247,86,23
2020-12-25,295,85,31
2020-12-26,346,86,31
2020-12-27,346,117,30
2020-12-28,398,110,34
2020-12-29,335,98,23
2020-12-30,292,88,25
2020-12-31,290,105,29
2021-01-01,326,132,30
2021-01-02,409,165,45
2021-01-03,400,172,40
2021-01-04,472,191,46
2021-01-05,429,154,29
2021-01-06,340,120,34
2021-01-07,331,117,27
2021-01-08,308,96,30
2021-01-09,298,84,30
2021-01-10,335,121,30
2021-01-11,341,116,44
2021-01-12,287,87,28
2021-01-13,310,81,28
2021-01-14,277,71,30
2021-01-15,307,63,28
2021-01-16,289,85,31
2021-01-17,258,60,31
2021-01-18,265,66,22
2021-01-19,246,61,27
2021-01-20,190,47,20
2021-01-21,173,63,18
2021-01-22,168,38,22
2021-01-23,126,34,14
2021-01-24,143,47,20
2021-01-25,175,77,20
2021-01-26,131,41,15
2021-01-27,151,44,21
2021-01-28,139,47,16
2021-01-29,114,31,16
2021-01-30,120,46,14
2021-01-31,139,50,23
2021-02-01,147,55,15
2021-02-02,134,40,10
2021-02-03,108,40,21
2021-02-04,125,54,17
2021-02-05,86,39,14
2021-02-06,113,37,13
2021-02-07,93,32,15
2021-02-08,89,31,9
2021-02-09,109,41,6
2021-02-10,118,34,23
2021-02-11,84,37,7
2021-02-12,76,30,9
2021-02-13,99,50,6
2021-02-14,102,42,13
2021-02-15,137,71,10
2021-02-16,130,71,8
2021-02-17,126,65,8
2021-02-18,81,44,6
2021-02-19,88,54,7
2021-02-20,109,57,14
2021-02-21,95,60,8
2021-02-22,119,59,14
2021-02-23,92,55,8
2021-02-24,80,37,8
2021-02-25,81,59,3
2021-02-26,86,61,2
2021-02-27,71,47,2
2021-02-28,84,47,7
2021-03-01,90,48,6
2021-03-02,121,63,15
2021-03-03,109,64,2
2021-03-04,122,69,12
2021-03-05,102,54,8
2021-03-06,101,58,15
2021-03-07,99,62,10
2021-03-08,131,68,15
2021-03-09,117,67,6
2021-03-10,122,57,15
2021-03-11,102,47,11
2021-03-12,119,57,11
2021-03-13,76,39,11
2021-03-14,91,44,16
2021-03-15,139,57,17
2021-03-16,107,53,11
2021-03-17,115,68,20
2021-03-18,102,54,12
2021-03-19,109,49,19
2021-03-20,119,54,25
2021-03-21,93,49,13
2021-03-22,109,56,10
2021-03-23,108,46,15
2021-03-24,119,71,15
2021-03-25,96,33,17
2021-03-26,111,49,24
2021-03-27,128,54,23
2021-03-28,137,65,18
2021-03-29,130,53,23
2021-03-30,114,58,15
2021-03-31,130,64,24
2021-04-01,152,83,26
2021-04-02,163,73,38
2021-04-03,158,69,25
2021-04-04,144,66,20
2021-04-05,233,100,46
2021-04-06,205,107,33
2021-04-07,164,66,33
2021-04-08,159,82,20
2021-04-09,172,82,39
2021-04-10,173,86,41
2021-04-11,208,94,36
2021-04-12,228,103,33
2021-04-13,182,85,24
2021-04-14,192,74,41
2021-04-15,182,72,44
2021-04-16,205,89,33
2021-04-17,197,84,45
2021-04-18,167,92,17
2021-04-19,231,98,38
2021-04-20,208,94,35
2021-04-21,188,100,25
2021-04-22,203,101,43
2021-04-23,222,95,49
2021-04-24,206,110,30
2021-04-25,195,113,32
2021-04-26,233,127,30
2021-04-27,226,117,24
2021-04-28,218,107,27
2021-04-29,181,88,23
2021-04-30,201,93,32
2021-05-01,213,95,39
2021-05-02,197,108,21
2021-05-03,216,110,29
2021-05-04,233,121,22
2021-05-05,233,110,13
2021-05-06,194,73,17
2021-05-07,207,101,24
2021-05-08,213,104,32
2021-05-09,229,94,27
2021-05-10,256,111,18
2021-05-11,224,112,17
2021-05-12,234,98,17
2021-05-13,223,88,12
2021-05-14,204,113,15
2021-05-15,233,122,12
2021-05-16,262,119,12
2021-05-17,289,130,17
2021-05-18,285,109,12
2021-05-19,225,110,16
2021-05-20,228,126,7
2021-05-21,191,90,13
2021-05-22,140,60,7
2021-05-23,191,98,6
2021-05-24,221,112,9
2021-05-25,198,74,8
2021-05-26,205,84,2
2021-05-27,212,68,8
2021-05-28,194,73,5
2021-05-29,181,75,5
2021-05-30,173,73,9
2021-05-31,205,84,5
2021-06-01,184,59,5
2021-06-02,144,55,6
2021-06-03,163,62,4
2021-06-04,118,48,7
2021-06-05,140,58,4
2021-06-06,128,43,6
2021-06-07,154,45,7
2021-06-08,132,43,2
2021-06-09,125,44,6
2021-06-10,123,35,2
2021-06-11,108,37,6
2021-06-12,110,31,5
2021-06-13,95,34,2
2021-06-14,117,35,2
2021-06-15,106,23,2
2021-06-16,90,16,5
2021-06-17,96,21,6
2021-06-18,81,15,5
2021-06-19,87,21,6
2021-06-20,106,23,4
2021-06-21,108,25,2
2021-06-22,110,29,2
2021-06-23,95,22,7
2021-06-24,102,23,2
2021-06-25,119,27,3
2021-06-26,118,21,4
2021-06-27,87,16,6
2021-06-28,126,31,2
2021-06-29,103,17,5
2021-06-30,116,16,3
2021-07-01,80,12,0
2021-07-02,102,12,0
2021-07-03,83,12,3
2021-07-04,64,9,4
2021-07-05,111,17,1
2021-07-06,84,14,1
2021-07-07,77,19,3
2021-07-08,71,8,1
2021-07-09,69,16,1
2021-07-10,83,19,1
2021-07-11,86,21,1
2021-07-12,91,19,5
2021-07-13,91,20,2
2021-07-14,53,13,3
2021-07-15,66,12,2
2021-07-16,58,20,3
2021-07-17,44,8,0
2021-07-18,56,13,3
2021-07-19,66,9,8
2021-07-20,60,10,3
2021-07-21,44,4,1
2021-07-22,47,6,3
2021-07-23,60,11,2
2021-07-24,54,12,5
2021-07-25,52,13,4
2021-07-26,59,7,2
2021-07-27,66,14,2
2021-07-28,58,11,1
2021-07-29,51,5,7
2021-07-30,51,9,2
2021-07-31,47,8,1
2021-08-01,51,8,2
2021-08-02,52,7,0
2021-08-03,85,10,0
2021-08-04,43,5,3
2021-08-05,42,5,1
2021-08-06,40,2,3
2021-08-07,47,8,0
2021-08-08,51,5,3
2021-08-09,48,8,1
2021-08-10,65,3,0
2021-08-11,51,10,0
2021-08-12,33,11,2
2021-08-13,32,4,0
2021-08-14,42,9,3
2021-08-15,32,4,2
2021-08-16,57,6,0
2021-08-17,36,6,5
2021-08-18,38,3,0
2021-08-19,24,6,0
2021-08-20,16,2,0
2021-08-21,22,5,0
2021-08-22,24,5,0
2021-08-23,33,7,0
2021-08-24,34,5,2
2021-08-25,23,5,0
2021-08-26,17,0,1
2021-08-27,26,7,0
2021-08-28,17,3,0
2021-08-29,11,5,0
2021-08-30,16,3,0
2021-08-31,14,4,0
2021-09-01,5,1,0
2021-09-02,9,2,0
2021-09-03,2,0,0
2021-09-04,4,1,0
2021-09-05,5,0,0
2021-09-06,1,0,0
2021-09-07,4,0,0
