"fecha","Entre Ríos","Paraná","Concordia","Gualeguaychú"
2020-10-24,292,93,47,20
2020-10-25,306,101,30,24
2020-10-26,319,107,46,19
2020-10-27,289,87,40,20
2020-10-28,240,88,27,21
2020-10-29,201,66,29,21
2020-10-30,287,101,33,34
2020-10-31,233,83,49,24
2020-11-01,247,81,25,18
2020-11-02,260,46,47,29
2020-11-03,289,76,51,20
2020-11-04,229,58,53,26
2020-11-05,225,57,47,28
2020-11-06,227,64,45,34
2020-11-07,258,83,53,25
2020-11-08,245,59,49,31
2020-11-09,306,71,76,35
2020-11-10,318,76,87,33
2020-11-11,233,57,60,22
2020-11-12,242,48,87,19
2020-11-13,209,48,43,25
2020-11-14,223,47,53,19
2020-11-15,246,69,55,19
2020-11-16,254,63,51,27
2020-11-17,253,63,51,19
2020-11-18,209,58,34,22
2020-11-19,180,45,42,17
2020-11-20,218,66,43,15
2020-11-21,196,50,41,16
2020-11-22,217,53,39,19
2020-11-23,251,60,55,27
2020-11-24,242,57,64,21
2020-11-25,221,61,39,18
2020-11-26,194,33,47,24
2020-11-27,200,35,45,17
2020-11-28,169,36,30,15
2020-11-29,193,39,35,18
2020-11-30,248,28,70,16
2020-12-01,209,23,46,18
2020-12-02,154,34,38,12
2020-12-03,174,29,42,14
2020-12-04,154,20,34,11
2020-12-05,168,25,46,10
2020-12-06,159,24,30,7
2020-12-07,216,32,47,15
2020-12-08,191,19,46,19
2020-12-09,266,39,75,14
2020-12-10,233,32,77,23
2020-12-11,207,25,63,18
2020-12-12,225,28,66,24
2020-12-13,234,39,58,14
2020-12-14,237,35,68,24
2020-12-15,222,36,57,22
2020-12-16,198,20,62,16
2020-12-17,151,25,51,19
2020-12-18,215,32,66,24
2020-12-19,207,30,64,30
2020-12-20,216,25,59,25
2020-12-21,205,31,46,28
2020-12-22,187,43,40,31
2020-12-23,235,35,71,45
2020-12-24,220,30,57,38
2020-12-25,263,43,52,45
2020-12-26,344,59,78,53
2020-12-27,332,64,87,52
2020-12-28,383,70,98,59
2020-12-29,369,63,103,59
2020-12-30,358,61,93,65
2020-12-31,384,79,90,66
2021-01-01,422,62,108,83
2021-01-02,557,84,129,112
2021-01-03,613,85,138,110
2021-01-04,670,132,158,107
2021-01-05,523,84,134,85
2021-01-06,537,88,106,98
2021-01-07,460,90,100,76
2021-01-08,496,80,112,68
2021-01-09,520,88,118,81
2021-01-10,487,97,92,67
2021-01-11,512,98,115,66
2021-01-12,415,78,92,59
2021-01-13,397,98,76,43
2021-01-14,381,64,78,62
2021-01-15,343,63,81,42
2021-01-16,364,52,77,55
2021-01-17,351,65,72,53
2021-01-18,395,92,68,54
2021-01-19,313,52,61,53
2021-01-20,259,52,54,27
2021-01-21,220,44,45,32
2021-01-22,272,56,60,48
2021-01-23,220,46,45,25
2021-01-24,225,53,51,28
2021-01-25,267,60,46,21
2021-01-26,222,56,51,21
2021-01-27,197,54,39,29
2021-01-28,216,34,46,25
2021-01-29,202,55,41,13
2021-01-30,168,54,19,13
2021-01-31,182,48,29,11
2021-02-01,242,64,41,26
2021-02-02,174,44,24,17
2021-02-03,130,32,17,17
2021-02-04,146,28,28,10
2021-02-05,147,46,14,17
2021-02-06,138,43,20,15
2021-02-07,112,26,14,13
2021-02-08,128,39,20,5
2021-02-09,135,37,23,11
2021-02-10,137,28,20,16
2021-02-11,108,23,22,10
2021-02-12,96,26,14,7
2021-02-13,114,24,17,16
2021-02-14,107,26,15,10
2021-02-15,124,30,21,9
2021-02-16,106,13,14,9
2021-02-17,138,38,20,10
2021-02-18,102,19,11,6
2021-02-19,111,24,26,5
2021-02-20,118,27,18,6
2021-02-21,105,21,11,12
2021-02-22,127,33,17,10
2021-02-23,130,30,23,10
2021-02-24,112,35,15,16
2021-02-25,87,28,9,10
2021-02-26,106,23,19,6
2021-02-27,98,27,15,3
2021-02-28,97,28,15,5
2021-03-01,133,38,12,17
2021-03-02,68,18,6,3
2021-03-03,81,23,15,5
2021-03-04,111,31,16,12
2021-03-05,92,27,12,5
2021-03-06,97,26,10,6
2021-03-07,81,15,15,6
2021-03-08,91,28,6,7
2021-03-09,111,28,10,13
2021-03-10,115,26,15,15
2021-03-11,104,33,8,8
2021-03-12,108,23,7,7
2021-03-13,113,27,9,15
2021-03-14,125,35,9,14
2021-03-15,128,25,7,14
2021-03-16,140,34,5,18
2021-03-17,119,25,10,18
2021-03-18,150,40,10,15
2021-03-19,125,33,5,18
2021-03-20,142,38,6,17
2021-03-21,154,36,12,16
2021-03-22,179,48,14,23
2021-03-23,181,55,7,19
2021-03-24,152,37,8,24
2021-03-25,162,36,11,20
2021-03-26,165,39,8,21
2021-03-27,166,43,8,22
2021-03-28,192,40,11,33
2021-03-29,209,42,14,22
2021-03-30,194,49,13,27
2021-03-31,200,45,11,25
2021-04-01,246,69,14,24
2021-04-02,263,66,20,32
2021-04-03,307,66,21,39
2021-04-04,307,85,17,31
2021-04-05,299,98,20,30
2021-04-06,210,64,16,25
2021-04-07,111,29,12,21
2021-04-08,42,13,3,3
2021-04-09,14,7,1,1
