"fecha","La Rioja","Capital","Chamical","Chilecito"
2020-05-24,5,4,0,1
2020-05-25,0,0,0,0
2020-05-26,1,0,0,1
2020-05-27,1,1,0,0
2020-05-28,3,3,0,0
2020-05-29,2,1,0,0
2020-05-30,2,0,0,1
2020-05-31,2,1,0,0
2020-06-01,1,0,0,0
2020-06-02,3,3,0,0
2020-06-03,3,1,0,1
2020-06-04,5,3,1,0
2020-06-05,4,2,0,0
2020-06-06,4,2,0,0
2020-06-07,5,2,0,1
2020-06-08,0,0,0,0
2020-06-09,2,2,0,0
2020-06-10,0,0,0,0
2020-06-11,2,2,0,0
2020-06-12,1,0,0,0
2020-06-13,2,1,0,1
2020-06-14,2,2,0,0
2020-06-15,0,0,0,0
2020-06-16,3,3,0,0
2020-06-17,5,5,0,0
2020-06-18,1,1,0,0
2020-06-19,9,9,0,0
2020-06-20,14,13,0,1
2020-06-21,13,13,0,0
2020-06-22,13,10,0,0
2020-06-23,16,15,0,1
2020-06-24,14,14,0,0
2020-06-25,19,17,0,1
2020-06-26,12,10,0,0
2020-06-27,9,5,0,2
2020-06-28,12,9,0,1
2020-06-29,13,12,0,0
2020-06-30,14,12,1,1
2020-07-01,14,14,0,0
2020-07-02,19,17,0,0
2020-07-03,16,16,0,0
2020-07-04,15,11,1,2
2020-07-05,10,7,1,2
2020-07-06,14,11,0,1
2020-07-07,18,15,1,1
2020-07-08,14,12,0,2
2020-07-09,17,11,0,2
2020-07-10,11,11,0,0
2020-07-11,13,11,0,1
2020-07-12,11,11,0,0
2020-07-13,4,3,0,1
2020-07-14,14,11,1,2
2020-07-15,13,11,0,0
2020-07-16,10,8,0,2
2020-07-17,9,5,1,2
2020-07-18,14,13,0,0
2020-07-19,9,7,0,0
2020-07-20,14,12,1,0
2020-07-21,16,16,0,0
2020-07-22,21,19,0,0
2020-07-23,25,23,1,0
2020-07-24,28,27,0,0
2020-07-25,20,17,1,0
2020-07-26,27,25,0,1
2020-07-27,29,27,0,0
2020-07-28,25,25,0,0
2020-07-29,32,29,0,0
2020-07-30,40,36,2,0
2020-07-31,23,20,1,1
2020-08-01,41,39,1,0
2020-08-02,32,29,2,0
2020-08-03,35,32,2,1
2020-08-04,33,29,1,2
2020-08-05,47,41,3,1
2020-08-06,42,35,3,0
2020-08-07,53,49,4,0
2020-08-08,47,35,6,1
2020-08-09,40,33,3,1
2020-08-10,67,60,5,0
2020-08-11,65,48,9,2
2020-08-12,38,35,2,1
2020-08-13,54,30,18,2
2020-08-14,73,62,7,1
2020-08-15,62,55,2,3
2020-08-16,45,35,2,2
2020-08-17,69,59,3,2
2020-08-18,71,62,4,3
2020-08-19,52,44,3,4
2020-08-20,66,51,5,7
2020-08-21,39,35,2,1
2020-08-22,54,41,6,2
2020-08-23,60,49,7,2
2020-08-24,70,54,10,2
2020-08-25,73,61,5,4
2020-08-26,70,51,6,3
2020-08-27,81,69,2,3
2020-08-28,96,81,5,4
2020-08-29,118,105,2,2
2020-08-30,73,68,1,2
2020-08-31,104,89,2,1
2020-09-01,125,111,3,2
2020-09-02,123,104,1,6
2020-09-03,117,92,7,2
2020-09-04,114,100,5,4
2020-09-05,116,99,5,2
2020-09-06,125,102,13,2
2020-09-07,135,111,8,3
2020-09-08,109,93,0,4
2020-09-09,128,108,2,6
2020-09-10,128,114,2,8
2020-09-11,117,88,5,13
2020-09-12,147,118,8,12
2020-09-13,189,151,5,19
2020-09-14,161,125,6,19
2020-09-15,163,122,5,24
2020-09-16,143,109,2,23
2020-09-17,142,108,5,18
2020-09-18,131,101,5,15
2020-09-19,109,71,5,21
2020-09-20,97,74,5,11
2020-09-21,96,63,1,23
2020-09-22,90,50,3,25
2020-09-23,99,65,2,21
2020-09-24,93,63,1,20
2020-09-25,80,56,4,11
2020-09-26,85,58,0,18
2020-09-27,89,57,0,19
2020-09-28,99,53,1,25
2020-09-29,114,78,0,20
2020-09-30,120,73,2,28
2020-10-01,121,63,1,34
2020-10-02,111,77,1,19
2020-10-03,113,68,3,25
2020-10-04,130,81,1,28
2020-10-05,101,51,0,31
2020-10-06,133,84,1,29
2020-10-07,129,84,0,32
2020-10-08,101,55,3,27
2020-10-09,126,80,1,32
2020-10-10,150,84,1,35
2020-10-11,132,90,0,31
2020-10-12,147,95,1,32
2020-10-13,120,72,0,37
2020-10-14,113,64,1,34
2020-10-15,126,72,1,41
2020-10-16,111,65,1,26
2020-10-17,84,54,1,22
2020-10-18,88,44,0,30
2020-10-19,85,44,3,25
2020-10-20,95,48,1,37
2020-10-21,71,46,1,16
2020-10-22,90,62,0,24
2020-10-23,67,47,1,13
2020-10-24,64,40,1,20
2020-10-25,67,44,2,14
2020-10-26,59,39,1,10
2020-10-27,73,47,3,12
2020-10-28,56,34,1,8
2020-10-29,41,26,0,10
2020-10-30,62,35,0,15
2020-10-31,41,23,1,8
2020-11-01,25,17,0,4
2020-11-02,41,24,1,7
2020-11-03,25,17,0,3
2020-11-04,39,17,1,16
2020-11-05,37,22,0,10
2020-11-06,48,26,0,14
2020-11-07,32,19,0,7
2020-11-08,47,26,1,13
2020-11-09,43,24,1,10
2020-11-10,41,23,0,9
2020-11-11,39,17,0,13
2020-11-12,37,22,0,8
2020-11-13,29,8,0,13
2020-11-14,34,20,1,8
2020-11-15,37,20,0,5
2020-11-16,46,31,0,8
2020-11-17,41,20,0,8
2020-11-18,30,19,0,5
2020-11-19,41,24,1,8
2020-11-20,33,19,0,4
2020-11-21,39,25,0,6
2020-11-22,31,14,0,9
2020-11-23,25,18,0,3
2020-11-24,39,25,0,4
2020-11-25,30,19,1,3
2020-11-26,31,20,0,3
2020-11-27,35,28,0,3
2020-11-28,18,13,0,2
2020-11-29,21,15,0,0
2020-11-30,28,22,0,2
2020-12-01,28,19,1,2
2020-12-02,32,27,0,1
2020-12-03,19,10,1,4
2020-12-04,25,18,0,2
2020-12-05,20,16,0,1
2020-12-06,20,14,0,2
2020-12-07,18,12,0,3
2020-12-08,17,14,0,2
2020-12-09,14,5,0,5
2020-12-10,16,11,1,0
2020-12-11,22,17,0,0
2020-12-12,11,7,0,1
2020-12-13,13,8,0,0
2020-12-14,10,7,1,1
2020-12-15,17,10,2,1
2020-12-16,17,12,2,1
2020-12-17,16,10,4,0
2020-12-18,15,6,1,2
2020-12-19,22,13,1,1
2020-12-20,11,7,0,1
2020-12-21,10,8,0,1
2020-12-22,14,10,1,0
2020-12-23,16,13,1,1
2020-12-24,10,1,3,2
2020-12-25,16,15,1,0
2020-12-26,13,9,1,3
2020-12-27,14,8,1,2
2020-12-28,17,13,0,1
2020-12-29,15,11,0,1
2020-12-30,19,14,0,1
2020-12-31,11,6,0,2
2021-01-01,14,10,2,1
2021-01-02,33,24,0,2
2021-01-03,32,16,1,5
2021-01-04,27,13,1,6
2021-01-05,27,18,1,1
2021-01-06,18,12,1,1
2021-01-07,29,21,1,1
2021-01-08,30,18,0,3
2021-01-09,20,11,1,1
2021-01-10,31,27,0,1
2021-01-11,21,17,0,0
2021-01-12,29,20,3,2
2021-01-13,23,17,1,2
2021-01-14,32,20,1,1
2021-01-15,42,31,0,2
2021-01-16,36,25,1,0
2021-01-17,33,21,3,2
2021-01-18,34,21,2,2
2021-01-19,27,18,1,2
2021-01-20,34,22,2,2
2021-01-21,20,9,4,1
2021-01-22,34,23,1,3
2021-01-23,31,17,1,2
2021-01-24,28,16,3,4
2021-01-25,22,14,2,4
2021-01-26,22,16,1,1
2021-01-27,20,12,2,2
2021-01-28,23,14,4,1
2021-01-29,27,14,3,2
2021-01-30,33,16,5,5
2021-01-31,19,9,1,2
2021-02-01,22,14,3,1
2021-02-02,26,13,6,1
2021-02-03,33,19,1,2
2021-02-04,34,20,2,5
2021-02-05,22,9,2,1
2021-02-06,24,16,1,4
2021-02-07,21,15,0,1
2021-02-08,44,20,4,3
2021-02-09,34,22,3,3
2021-02-10,34,18,4,1
2021-02-11,41,27,1,2
2021-02-12,34,19,0,4
2021-02-13,35,28,1,2
2021-02-14,38,18,0,3
2021-02-15,37,22,0,1
2021-02-16,41,21,0,4
2021-02-17,37,21,0,3
2021-02-18,42,21,0,4
2021-02-19,45,25,1,6
2021-02-20,59,33,2,5
2021-02-21,40,25,3,2
2021-02-22,35,21,3,5
2021-02-23,41,23,0,1
2021-02-24,41,20,3,4
2021-02-25,36,18,1,6
2021-02-26,39,20,0,3
2021-02-27,30,21,1,1
2021-02-28,29,21,3,1
2021-03-01,19,9,1,3
2021-03-02,24,19,0,1
2021-03-03,24,15,1,1
2021-03-04,38,25,0,5
2021-03-05,37,28,0,4
2021-03-06,28,16,0,7
2021-03-07,18,7,2,5
2021-03-08,33,25,1,3
2021-03-09,29,18,0,5
2021-03-10,29,15,0,10
2021-03-11,36,25,0,8
2021-03-12,30,12,0,11
2021-03-13,33,22,2,6
2021-03-14,28,19,0,6
2021-03-15,26,21,1,2
2021-03-16,43,25,1,12
2021-03-17,42,31,1,3
2021-03-18,31,20,0,6
2021-03-19,41,30,0,6
2021-03-20,51,34,0,6
2021-03-21,42,24,1,9
2021-03-22,42,25,0,2
2021-03-23,54,22,2,11
2021-03-24,44,22,0,6
2021-03-25,67,27,2,11
2021-03-26,66,24,2,9
2021-03-27,82,43,4,11
2021-03-28,73,31,3,12
2021-03-29,81,41,0,8
2021-03-30,97,53,3,11
2021-03-31,103,52,1,16
2021-04-01,94,39,6,16
2021-04-02,102,50,0,17
2021-04-03,93,40,2,11
2021-04-04,92,38,4,12
2021-04-05,89,41,2,14
2021-04-06,89,42,1,17
2021-04-07,93,41,5,12
2021-04-08,79,36,3,15
2021-04-09,80,40,2,11
2021-04-10,95,38,5,11
2021-04-11,84,25,3,20
2021-04-12,101,45,4,14
2021-04-13,89,32,1,22
2021-04-14,83,35,0,12
2021-04-15,74,29,0,12
2021-04-16,107,37,2,20
2021-04-17,102,40,2,13
2021-04-18,84,34,0,17
2021-04-19,88,30,2,18
2021-04-20,84,37,2,19
2021-04-21,89,25,5,22
2021-04-22,80,29,1,18
2021-04-23,71,28,3,15
2021-04-24,73,22,0,10
2021-04-25,80,26,0,10
2021-04-26,100,27,1,15
2021-04-27,97,29,1,21
2021-04-28,91,26,1,11
2021-04-29,94,20,1,20
2021-04-30,94,33,2,18
2021-05-01,104,29,5,21
2021-05-02,106,29,5,20
2021-05-03,79,28,2,10
2021-05-04,73,30,2,7
2021-05-05,60,14,5,8
2021-05-06,84,31,4,10
2021-05-07,112,42,6,15
2021-05-08,102,35,4,12
2021-05-09,129,41,7,20
2021-05-10,129,39,8,12
2021-05-11,123,40,10,15
2021-05-12,158,50,10,23
2021-05-13,176,54,7,31
2021-05-14,140,31,7,25
2021-05-15,169,45,7,28
2021-05-16,177,56,11,35
2021-05-17,156,31,3,41
2021-05-18,141,39,6,27
2021-05-19,144,29,5,24
2021-05-20,166,43,5,32
2021-05-21,152,45,2,25
2021-05-22,153,38,7,31
2021-05-23,134,27,5,33
2021-05-24,146,43,10,22
2021-05-25,153,38,8,36
2021-05-26,154,44,4,35
2021-05-27,170,40,6,47
2021-05-28,172,51,7,34
2021-05-29,136,38,5,24
2021-05-30,160,36,5,37
2021-05-31,148,40,4,25
2021-06-01,167,47,5,29
2021-06-02,147,35,6,31
2021-06-03,164,50,6,36
2021-06-04,143,40,2,23
2021-06-05,149,42,5,30
2021-06-06,110,31,1,29
2021-06-07,146,40,8,26
2021-06-08,116,33,3,30
2021-06-09,120,38,6,21
2021-06-10,122,38,4,26
2021-06-11,110,34,5,18
2021-06-12,128,38,5,27
2021-06-13,121,47,7,22
2021-06-14,126,45,3,18
2021-06-15,133,47,6,28
2021-06-16,111,39,3,29
2021-06-17,121,46,6,27
2021-06-18,156,62,7,29
2021-06-19,142,46,14,27
2021-06-20,129,38,12,28
2021-06-21,153,53,9,19
2021-06-22,165,63,11,22
2021-06-23,172,62,15,32
2021-06-24,168,68,24,19
2021-06-25,134,57,10,21
2021-06-26,140,57,13,22
2021-06-27,148,54,20,14
2021-06-28,175,73,11,18
2021-06-29,168,71,14,18
2021-06-30,155,70,21,16
2021-07-01,148,70,16,16
2021-07-02,156,64,13,14
2021-07-03,173,88,18,11
2021-07-04,143,64,16,18
2021-07-05,145,73,20,14
2021-07-06,198,97,27,17
2021-07-07,154,75,23,10
2021-07-08,173,88,22,13
2021-07-09,170,94,21,10
2021-07-10,171,95,20,8
2021-07-11,168,94,20,19
2021-07-12,199,112,24,13
2021-07-13,149,85,20,5
2021-07-14,132,85,8,7
2021-07-15,140,81,17,6
2021-07-16,140,86,14,6
2021-07-17,154,102,9,10
2021-07-18,141,83,16,12
2021-07-19,180,92,28,12
2021-07-20,180,106,14,13
2021-07-21,186,111,15,10
2021-07-22,206,125,16,7
2021-07-23,163,102,11,9
2021-07-24,199,127,10,7
2021-07-25,188,132,6,7
2021-07-26,154,95,10,7
2021-07-27,192,126,5,9
2021-07-28,188,124,9,9
2021-07-29,161,101,10,6
2021-07-30,162,90,3,9
2021-07-31,151,91,10,8
2021-08-01,158,102,6,10
2021-08-02,128,73,8,9
2021-08-03,153,101,8,6
2021-08-04,125,79,3,6
2021-08-05,113,67,4,7
2021-08-06,96,62,1,5
2021-08-07,101,64,3,8
2021-08-08,99,53,3,7
2021-08-09,97,59,5,6
2021-08-10,107,65,2,8
2021-08-11,104,60,1,4
2021-08-12,76,48,3,4
2021-08-13,101,61,6,7
2021-08-14,91,49,5,6
2021-08-15,76,51,1,1
2021-08-16,65,35,1,8
2021-08-17,53,36,1,3
2021-08-18,86,52,1,4
2021-08-19,62,29,5,5
2021-08-20,50,28,2,2
2021-08-21,58,28,2,2
2021-08-22,45,25,2,3
2021-08-23,41,18,0,3
2021-08-24,60,32,0,6
2021-08-25,53,32,1,3
2021-08-26,43,23,2,1
2021-08-27,40,22,4,3
2021-08-28,50,23,1,5
2021-08-29,49,26,2,1
2021-08-30,39,24,1,2
2021-08-31,34,17,1,4
2021-09-01,35,23,1,4
2021-09-02,17,11,0,1
2021-09-03,29,16,0,3
2021-09-04,28,14,1,2
2021-09-05,23,16,1,0
2021-09-06,23,11,1,2
2021-09-07,20,9,0,2
2021-09-08,21,13,0,4
2021-09-09,11,7,0,2
2021-09-10,22,6,1,4
2021-09-11,16,9,1,2
2021-09-12,9,4,0,2
2021-09-13,10,4,0,2
2021-09-14,10,6,1,1
2021-09-15,13,6,0,2
2021-09-16,15,9,1,0
2021-09-17,18,8,1,1
2021-09-18,17,7,0,4
2021-09-19,15,4,0,2
2021-09-20,16,11,0,0
2021-09-21,22,7,1,3
2021-09-22,8,2,0,0
2021-09-23,16,11,0,0
2021-09-24,10,4,0,1
2021-09-25,13,7,0,4
2021-09-26,10,7,0,0
2021-09-27,10,6,0,1
2021-09-28,18,11,0,2
2021-09-29,12,3,0,5
2021-09-30,4,1,0,1
2021-10-01,11,6,1,1
2021-10-02,9,4,0,1
2021-10-03,10,4,0,1
2021-10-04,12,5,0,2
2021-10-05,7,1,0,1
2021-10-06,5,5,0,0
2021-10-07,13,4,2,4
2021-10-08,4,3,0,1
2021-10-09,11,2,0,3
2021-10-10,5,2,0,0
2021-10-11,2,2,0,0
2021-10-12,7,4,0,0
2021-10-13,2,0,1,0
2021-10-14,2,0,0,0
2021-10-15,7,5,0,0
2021-10-16,11,7,0,2
2021-10-17,7,6,0,1
2021-10-18,10,8,0,1
2021-10-19,6,5,0,0
2021-10-20,9,9,0,0
2021-10-21,6,4,0,1
2021-10-22,4,3,1,0
2021-10-23,6,5,0,0
2021-10-24,2,1,0,0
