"fecha","Río Negro","Bariloche","General Roca","Adolfo Alsina","Avellaneda"
2020-04-17,10,2,3,0,5
2020-04-18,5,1,0,0,4
2020-04-19,11,3,1,0,7
2020-04-20,12,1,2,0,9
2020-04-21,5,1,1,0,3
2020-04-22,5,1,2,0,2
2020-04-23,10,1,4,0,5
2020-04-24,11,1,5,0,5
2020-04-25,9,1,2,0,6
2020-04-26,9,1,3,1,4
2020-04-27,11,1,5,0,5
2020-04-28,9,2,3,0,3
2020-04-29,8,3,3,0,2
2020-04-30,8,2,4,0,2
2020-05-01,7,1,4,0,2
2020-05-02,4,0,2,0,2
2020-05-03,5,1,2,0,2
2020-05-04,4,3,1,0,0
2020-05-05,1,0,1,0,0
2020-05-06,7,5,1,0,1
2020-05-07,4,4,0,0,0
2020-05-08,5,5,0,0,0
2020-05-09,9,7,2,0,0
2020-05-10,6,3,3,0,0
2020-05-11,4,2,2,0,0
2020-05-12,6,6,0,0,0
2020-05-13,8,6,1,0,0
2020-05-14,4,2,0,0,1
2020-05-15,7,3,3,0,0
2020-05-16,3,1,2,0,0
2020-05-17,4,3,1,0,0
2020-05-18,4,2,2,0,0
2020-05-19,6,4,2,0,0
2020-05-20,4,3,0,0,0
2020-05-21,8,0,8,0,0
2020-05-22,7,1,6,0,0
2020-05-23,15,4,11,0,0
2020-05-24,6,2,3,1,0
2020-05-25,8,3,5,0,0
2020-05-26,8,2,6,0,0
2020-05-27,7,0,7,0,0
2020-05-28,7,2,4,1,0
2020-05-29,8,1,7,0,0
2020-05-30,9,2,7,0,0
2020-05-31,11,4,7,0,0
2020-06-01,8,3,5,0,0
2020-06-02,10,0,9,0,0
2020-06-03,10,2,8,0,0
2020-06-04,20,2,18,0,0
2020-06-05,11,0,10,0,0
2020-06-06,19,4,12,0,1
2020-06-07,8,3,5,0,0
2020-06-08,13,2,11,0,0
2020-06-09,9,3,6,0,0
2020-06-10,17,7,10,0,0
2020-06-11,28,9,18,0,0
2020-06-12,24,6,15,0,0
2020-06-13,13,2,10,0,0
2020-06-14,24,2,18,0,0
2020-06-15,15,5,8,0,0
2020-06-16,19,4,13,0,0
2020-06-17,17,7,6,0,0
2020-06-18,33,6,19,0,0
2020-06-19,15,4,9,0,1
2020-06-20,26,6,14,0,1
2020-06-21,18,7,4,0,0
2020-06-22,19,8,9,0,0
2020-06-23,32,13,9,0,0
2020-06-24,19,5,9,0,0
2020-06-25,21,3,15,0,0
2020-06-26,23,3,18,0,0
2020-06-27,10,2,8,0,0
2020-06-28,21,4,16,0,0
2020-06-29,22,6,16,0,0
2020-06-30,20,6,14,0,0
2020-07-01,19,4,14,0,0
2020-07-02,11,4,5,0,0
2020-07-03,18,2,15,0,0
2020-07-04,14,5,9,0,0
2020-07-05,24,7,16,0,0
2020-07-06,32,8,24,0,0
2020-07-07,31,7,24,0,0
2020-07-08,25,9,16,0,0
2020-07-09,40,20,20,0,0
2020-07-10,31,6,25,0,0
2020-07-11,22,8,13,0,0
2020-07-12,33,8,22,0,0
2020-07-13,35,8,25,0,0
2020-07-14,37,6,28,0,0
2020-07-15,45,8,28,0,0
2020-07-16,30,5,22,0,0
2020-07-17,33,13,20,0,0
2020-07-18,30,9,21,0,0
2020-07-19,36,12,24,0,0
2020-07-20,55,12,43,0,0
2020-07-21,43,15,28,0,0
2020-07-22,56,14,41,0,0
2020-07-23,55,20,35,0,0
2020-07-24,51,23,27,0,0
2020-07-25,64,22,41,0,0
2020-07-26,77,38,34,0,0
2020-07-27,88,46,36,0,0
2020-07-28,110,56,52,0,1
2020-07-29,86,42,40,0,0
2020-07-30,124,57,62,0,0
2020-07-31,116,56,53,1,0
2020-08-01,152,78,65,0,1
2020-08-02,147,56,72,1,1
2020-08-03,136,53,67,0,2
2020-08-04,127,47,57,1,4
2020-08-05,125,32,66,1,4
2020-08-06,135,40,74,2,2
2020-08-07,126,28,72,1,4
2020-08-08,157,29,99,0,7
2020-08-09,117,34,67,1,1
2020-08-10,144,31,78,0,2
2020-08-11,126,19,80,0,1
2020-08-12,124,24,75,0,2
2020-08-13,114,11,81,0,0
2020-08-14,147,23,102,0,3
2020-08-15,122,22,72,4,0
2020-08-16,130,20,84,2,4
2020-08-17,150,27,100,3,8
2020-08-18,159,20,120,3,2
2020-08-19,131,19,88,3,2
2020-08-20,147,20,102,3,4
2020-08-21,140,14,93,5,6
2020-08-22,143,31,89,4,4
2020-08-23,193,29,145,5,4
2020-08-24,176,22,109,10,9
2020-08-25,217,16,144,13,9
2020-08-26,183,23,120,12,11
2020-08-27,174,28,110,7,7
2020-08-28,150,21,89,17,5
2020-08-29,135,32,64,14,7
2020-08-30,195,28,137,10,7
2020-08-31,205,26,145,9,4
2020-09-01,229,41,148,17,6
2020-09-02,159,39,91,11,3
2020-09-03,214,49,119,13,5
2020-09-04,211,54,128,7,3
2020-09-05,212,48,118,9,7
2020-09-06,243,59,144,13,4
2020-09-07,291,76,162,18,4
2020-09-08,237,61,137,8,1
2020-09-09,243,93,100,13,4
2020-09-10,243,84,118,17,2
2020-09-11,228,70,114,21,6
2020-09-12,208,53,119,13,4
2020-09-13,251,60,141,13,5
2020-09-14,265,60,155,12,9
2020-09-15,249,47,152,13,10
2020-09-16,207,40,127,10,5
2020-09-17,214,38,129,9,9
2020-09-18,263,41,177,13,14
2020-09-19,249,40,153,19,14
2020-09-20,266,39,168,20,12
2020-09-21,243,47,151,6,14
2020-09-22,253,55,150,13,15
2020-09-23,227,43,115,17,17
2020-09-24,236,36,139,18,19
2020-09-25,289,43,184,15,17
2020-09-26,328,32,221,19,11
2020-09-27,325,32,210,21,26
2020-09-28,349,31,239,29,24
2020-09-29,309,47,189,26,22
2020-09-30,279,37,174,22,19
2020-10-01,377,46,258,39,15
2020-10-02,324,41,198,39,24
2020-10-03,364,56,227,34,13
2020-10-04,290,46,167,34,16
2020-10-05,457,71,298,40,26
2020-10-06,338,58,209,32,17
2020-10-07,317,62,167,33,22
2020-10-08,416,53,251,41,32
2020-10-09,392,48,257,30,24
2020-10-10,440,64,258,51,40
2020-10-11,316,61,161,51,22
2020-10-12,428,56,264,52,27
2020-10-13,354,53,207,47,22
2020-10-14,332,70,158,47,33
2020-10-15,368,52,217,53,23
2020-10-16,370,49,220,45,31
2020-10-17,295,59,126,54,32
2020-10-18,400,62,201,49,50
2020-10-19,404,72,198,44,48
2020-10-20,344,71,140,60,44
2020-10-21,298,69,126,55,29
2020-10-22,326,64,162,41,32
2020-10-23,311,69,156,34,28
2020-10-24,303,70,132,47,26
2020-10-25,273,61,103,68,16
2020-10-26,314,49,155,51,34
2020-10-27,211,40,89,43,21
2020-10-28,151,39,53,26,18
2020-10-29,133,20,54,15,18
2020-10-30,61,12,27,4,8
2020-10-31,36,12,9,8,2
2020-11-01,16,4,5,3,1
