"fecha","Jujuy","El Carmen","Dr. Manuel Belgrano","Ledesma","Susques"
2020-04-28,2,0,2,0,0
2020-04-29,2,0,2,0,0
2020-04-30,0,0,0,0,0
2020-05-01,2,0,1,0,0
2020-05-02,0,0,0,0,0
2020-05-03,0,0,0,0,0
2020-05-04,1,0,1,0,0
2020-05-05,0,0,0,0,0
2020-05-06,2,0,1,0,1
2020-05-07,1,0,1,0,0
2020-05-08,1,0,0,1,0
2020-05-09,1,0,1,0,0
2020-05-10,0,0,0,0,0
2020-05-11,1,0,0,1,0
2020-05-12,0,0,0,0,0
2020-05-13,1,0,0,0,0
2020-05-14,2,0,2,0,0
2020-05-15,1,0,1,0,0
2020-05-16,0,0,0,0,0
2020-05-17,1,0,1,0,0
2020-05-18,0,0,0,0,0
2020-05-19,0,0,0,0,0
2020-05-20,1,0,0,1,0
2020-05-21,2,0,1,1,0
2020-05-22,1,0,1,0,0
2020-05-23,3,0,3,0,0
2020-05-24,0,0,0,0,0
2020-05-25,0,0,0,0,0
2020-05-26,0,0,0,0,0
2020-05-27,1,0,0,0,1
2020-05-28,3,0,0,0,0
2020-05-29,1,0,1,0,0
2020-05-30,1,0,0,1,0
2020-05-31,2,0,2,0,0
2020-06-01,0,0,0,0,0
2020-06-02,1,0,0,0,0
2020-06-03,4,1,2,0,0
2020-06-04,2,0,1,0,0
2020-06-05,1,0,1,0,0
2020-06-06,3,1,1,0,0
2020-06-07,3,1,0,0,2
2020-06-08,1,1,0,0,0
2020-06-09,2,0,1,0,0
2020-06-10,2,0,2,0,0
2020-06-11,1,1,0,0,0
2020-06-12,19,1,16,0,0
2020-06-13,2,0,1,0,0
2020-06-14,2,0,0,1,0
2020-06-15,1,0,1,0,0
2020-06-16,3,0,1,0,1
2020-06-17,8,1,4,0,0
2020-06-18,11,1,3,1,0
2020-06-19,10,1,4,1,0
2020-06-20,9,1,1,2,0
2020-06-21,11,2,4,0,0
2020-06-22,14,1,4,3,0
2020-06-23,12,1,2,4,0
2020-06-24,21,1,5,7,1
2020-06-25,26,4,5,7,0
2020-06-26,24,0,8,10,0
2020-06-27,17,2,2,10,0
2020-06-28,32,6,10,9,0
2020-06-29,37,11,4,13,1
2020-06-30,43,9,6,15,1
2020-07-01,56,14,10,17,2
2020-07-02,50,8,12,11,5
2020-07-03,73,15,22,18,4
2020-07-04,82,6,40,11,4
2020-07-05,78,5,38,12,7
2020-07-06,69,12,30,4,10
2020-07-07,77,8,31,15,4
2020-07-08,75,8,28,16,4
2020-07-09,77,4,27,14,8
2020-07-10,114,16,53,21,6
2020-07-11,62,10,33,6,1
2020-07-12,84,15,26,16,6
2020-07-13,80,16,26,11,12
2020-07-14,106,19,37,21,8
2020-07-15,105,20,35,21,11
2020-07-16,127,15,51,18,18
2020-07-17,141,25,39,23,20
2020-07-18,140,25,40,28,19
2020-07-19,180,45,43,30,30
2020-07-20,200,33,57,46,31
2020-07-21,145,30,44,32,8
2020-07-22,192,48,44,48,13
2020-07-23,164,27,48,52,9
2020-07-24,159,30,41,39,11
2020-07-25,129,22,34,30,13
2020-07-26,160,33,37,54,7
2020-07-27,183,28,66,45,14
2020-07-28,130,22,42,39,3
2020-07-29,129,13,51,35,4
2020-07-30,166,29,51,50,5
2020-07-31,168,21,52,56,6
2020-08-01,139,19,43,49,3
2020-08-02,145,24,53,34,3
2020-08-03,178,42,49,44,0
2020-08-04,178,28,67,44,3
2020-08-05,176,36,59,33,1
2020-08-06,153,20,63,39,2
2020-08-07,195,31,72,39,2
2020-08-08,218,27,93,36,0
2020-08-09,184,29,74,33,1
2020-08-10,244,39,92,35,2
2020-08-11,197,25,87,23,5
2020-08-12,243,43,100,28,2
2020-08-13,225,31,102,25,1
2020-08-14,232,39,104,24,3
2020-08-15,203,32,78,26,0
2020-08-16,241,53,97,20,2
2020-08-17,229,55,86,20,2
2020-08-18,257,39,109,23,0
2020-08-19,248,37,94,18,2
2020-08-20,296,38,112,25,1
2020-08-21,260,33,105,19,2
2020-08-22,258,35,100,15,1
2020-08-23,300,36,107,17,4
2020-08-24,277,34,117,24,5
2020-08-25,337,46,141,24,5
2020-08-26,304,26,164,14,3
2020-08-27,311,36,146,21,4
2020-08-28,287,38,128,11,3
2020-08-29,266,37,127,8,4
2020-08-30,301,37,147,21,9
2020-08-31,272,33,131,17,5
2020-09-01,299,45,143,12,4
2020-09-02,282,34,120,15,9
2020-09-03,255,29,113,9,3
2020-09-04,240,25,114,5,1
2020-09-05,258,27,125,13,6
2020-09-06,238,23,108,13,6
2020-09-07,257,21,116,11,3
2020-09-08,239,31,105,12,4
2020-09-09,211,23,93,8,5
2020-09-10,243,18,121,9,2
2020-09-11,199,21,86,14,1
2020-09-12,192,18,89,6,3
2020-09-13,200,23,88,14,2
2020-09-14,176,14,88,9,0
2020-09-15,171,21,77,9,3
2020-09-16,161,14,70,4,6
2020-09-17,159,20,76,4,4
2020-09-18,156,14,70,10,5
2020-09-19,134,12,64,6,3
2020-09-20,146,13,64,5,5
2020-09-21,126,8,60,3,1
2020-09-22,154,20,61,10,4
2020-09-23,159,10,71,6,7
2020-09-24,162,11,75,5,3
2020-09-25,122,8,58,7,6
2020-09-26,109,12,53,6,1
2020-09-27,92,16,41,3,0
2020-09-28,105,12,47,3,3
2020-09-29,85,6,37,2,1
2020-09-30,77,6,45,0,2
2020-10-01,112,12,40,3,0
2020-10-02,65,8,25,1,1
2020-10-03,68,9,32,5,0
2020-10-04,66,7,35,2,0
2020-10-05,63,9,25,5,0
2020-10-06,84,13,32,5,3
2020-10-07,57,6,33,1,2
2020-10-08,65,8,24,2,0
2020-10-09,58,5,26,1,0
2020-10-10,67,12,28,0,2
2020-10-11,64,8,27,3,0
2020-10-12,60,7,27,2,0
2020-10-13,64,7,25,4,1
2020-10-14,60,6,26,4,1
2020-10-15,51,5,22,5,1
2020-10-16,55,10,23,3,2
2020-10-17,48,2,21,3,0
2020-10-18,58,3,21,6,4
2020-10-19,54,6,19,3,3
2020-10-20,49,7,22,1,1
2020-10-21,22,2,8,0,1
2020-10-22,33,3,17,1,1
2020-10-23,33,4,12,1,1
2020-10-24,37,5,15,2,2
2020-10-25,32,4,8,3,5
2020-10-26,28,1,9,6,1
2020-10-27,23,1,13,0,0
2020-10-28,21,3,3,1,1
2020-10-29,21,1,9,0,1
2020-10-30,25,2,12,2,0
2020-10-31,22,2,6,1,0
2020-11-01,19,0,11,3,1
2020-11-02,16,2,5,1,0
2020-11-03,31,2,16,2,0
2020-11-04,22,1,12,0,1
2020-11-05,19,2,4,2,1
2020-11-06,25,1,12,1,0
2020-11-07,23,1,10,2,1
2020-11-08,18,3,9,1,0
2020-11-09,26,5,15,1,0
2020-11-10,21,5,7,4,0
2020-11-11,22,4,10,1,2
2020-11-12,22,3,11,0,1
2020-11-13,18,2,7,2,1
2020-11-14,13,5,5,2,0
2020-11-15,21,5,5,0,0
2020-11-16,13,1,7,0,0
2020-11-17,10,1,6,0,0
2020-11-18,9,3,5,0,0
2020-11-19,12,0,2,1,0
2020-11-20,7,1,4,1,0
2020-11-21,11,2,3,0,0
2020-11-22,8,1,4,0,1
2020-11-23,7,1,4,0,0
2020-11-24,5,1,1,0,0
2020-11-25,8,0,4,0,0
2020-11-26,4,0,1,0,0
2020-11-27,9,0,5,0,0
2020-11-28,4,1,2,0,0
2020-11-29,6,1,1,0,0
2020-11-30,4,0,0,0,0
2020-12-01,5,0,2,0,0
2020-12-02,10,1,6,1,0
2020-12-03,2,0,2,0,0
2020-12-04,6,0,3,0,0
2020-12-05,6,0,3,0,0
2020-12-06,8,0,4,0,0
2020-12-07,5,1,1,0,0
2020-12-08,6,0,4,0,0
2020-12-09,6,1,4,0,0
2020-12-10,6,1,1,2,0
2020-12-11,2,0,0,0,0
2020-12-12,3,0,3,0,0
2020-12-13,5,0,2,0,0
2020-12-14,5,0,2,1,0
2020-12-15,7,1,3,0,0
2020-12-16,10,1,2,1,0
2020-12-17,4,1,2,0,0
2020-12-18,4,0,3,1,0
2020-12-19,7,1,3,0,0
2020-12-20,5,0,2,1,0
2020-12-21,9,0,5,1,0
2020-12-22,10,0,6,0,0
2020-12-23,6,0,4,1,0
2020-12-24,13,1,6,1,0
2020-12-25,9,0,8,1,0
2020-12-26,6,0,3,1,1
2020-12-27,7,0,4,1,0
2020-12-28,9,0,4,2,0
2020-12-29,7,0,3,1,0
2020-12-30,9,1,3,1,0
2020-12-31,21,0,10,4,0
2021-01-01,12,0,3,3,1
2021-01-02,18,1,11,2,0
2021-01-03,18,2,5,1,1
2021-01-04,23,4,11,3,0
2021-01-05,17,1,6,0,0
2021-01-06,20,2,7,4,2
2021-01-07,20,1,9,1,0
2021-01-08,20,1,9,1,0
2021-01-09,17,0,9,0,0
2021-01-10,28,3,6,1,0
2021-01-11,38,1,11,0,0
2021-01-12,44,3,18,1,0
2021-01-13,34,2,9,1,0
2021-01-14,36,1,16,1,1
2021-01-15,30,0,15,0,0
2021-01-16,21,2,9,1,0
2021-01-17,26,2,12,1,0
2021-01-18,32,0,19,2,0
2021-01-19,38,2,19,1,0
2021-01-20,38,0,16,1,1
2021-01-21,37,2,17,1,0
2021-01-22,35,1,15,3,1
2021-01-23,28,2,16,0,0
2021-01-24,17,1,7,1,0
2021-01-25,38,1,15,4,0
2021-01-26,19,3,9,0,0
2021-01-27,34,1,13,1,0
2021-01-28,29,1,14,3,0
2021-01-29,24,3,9,1,0
2021-01-30,35,2,19,0,0
2021-01-31,33,1,20,0,0
2021-02-01,26,4,10,0,0
2021-02-02,23,2,9,1,0
2021-02-03,27,2,13,0,0
2021-02-04,33,2,21,3,0
2021-02-05,40,3,20,1,0
2021-02-06,44,1,23,2,2
2021-02-07,31,3,18,0,1
2021-02-08,29,2,16,1,0
2021-02-09,30,4,17,1,0
2021-02-10,37,3,21,0,0
2021-02-11,33,0,19,0,1
2021-02-12,44,2,22,1,0
2021-02-13,37,3,23,0,0
2021-02-14,44,2,29,3,0
2021-02-15,70,3,38,4,0
2021-02-16,63,2,37,1,1
2021-02-17,73,1,41,4,2
2021-02-18,70,4,31,6,0
2021-02-19,99,7,39,3,0
2021-02-20,98,2,59,3,0
2021-02-21,82,7,33,4,0
2021-02-22,85,3,34,4,0
2021-02-23,82,5,41,4,0
2021-02-24,60,2,24,8,0
2021-02-25,70,4,32,5,1
2021-02-26,69,1,32,4,0
2021-02-27,56,1,26,5,1
2021-02-28,71,4,38,2,0
2021-03-01,69,4,32,2,1
2021-03-02,62,3,27,6,0
2021-03-03,64,1,35,5,0
2021-03-04,67,3,37,2,0
2021-03-05,67,1,30,11,0
2021-03-06,61,4,31,8,0
2021-03-07,55,1,21,7,3
2021-03-08,69,3,31,8,4
2021-03-09,49,1,24,2,0
2021-03-10,54,0,23,5,1
2021-03-11,59,2,22,10,0
2021-03-12,42,1,20,1,0
2021-03-13,36,4,16,2,0
2021-03-14,50,2,22,4,3
2021-03-15,40,1,22,4,1
2021-03-16,38,1,18,2,0
2021-03-17,38,1,15,7,0
2021-03-18,44,0,18,7,0
2021-03-19,47,2,24,4,1
2021-03-20,42,3,21,0,0
2021-03-21,41,0,24,4,0
2021-03-22,34,1,22,2,0
2021-03-23,39,2,20,3,0
2021-03-24,41,3,16,9,1
2021-03-25,47,6,28,4,0
2021-03-26,47,4,26,6,0
2021-03-27,53,4,33,4,0
2021-03-28,70,5,39,4,2
2021-03-29,45,4,25,2,1
2021-03-30,38,1,22,2,0
2021-03-31,54,4,32,3,1
2021-04-01,55,5,34,3,0
2021-04-02,47,3,31,0,0
2021-04-03,44,1,22,3,0
2021-04-04,52,4,31,2,1
2021-04-05,40,4,27,1,0
2021-04-06,45,2,20,4,0
2021-04-07,47,2,30,1,1
2021-04-08,60,2,37,3,0
2021-04-09,59,5,31,3,0
2021-04-10,65,3,48,1,0
2021-04-11,56,3,40,3,0
2021-04-12,65,3,44,3,0
2021-04-13,62,2,46,3,1
2021-04-14,70,3,41,4,2
2021-04-15,70,4,44,5,0
2021-04-16,68,6,50,1,3
2021-04-17,54,1,38,3,2
2021-04-18,49,4,27,5,4
2021-04-19,61,4,44,2,4
2021-04-20,62,2,40,2,1
2021-04-21,50,5,31,5,2
2021-04-22,57,4,35,1,4
2021-04-23,55,5,35,5,3
2021-04-24,54,7,35,1,3
2021-04-25,52,2,26,4,5
2021-04-26,69,2,51,3,5
2021-04-27,57,5,41,3,1
2021-04-28,54,2,41,3,1
2021-04-29,59,3,32,5,3
2021-04-30,46,2,28,4,1
2021-05-01,64,3,31,6,1
2021-05-02,61,5,37,1,1
2021-05-03,68,6,33,3,0
2021-05-04,63,9,25,3,1
2021-05-05,60,5,30,0,1
2021-05-06,45,1,29,0,1
2021-05-07,57,5,32,2,0
2021-05-08,53,4,33,0,2
2021-05-09,51,6,23,5,1
2021-05-10,81,5,35,5,0
2021-05-11,67,4,38,4,0
2021-05-12,83,6,47,1,1
2021-05-13,70,11,28,5,1
2021-05-14,73,7,40,3,1
2021-05-15,86,7,47,3,0
2021-05-16,98,7,56,3,1
2021-05-17,95,8,52,1,1
2021-05-18,86,5,43,2,0
2021-05-19,95,13,43,4,1
2021-05-20,97,13,52,2,0
2021-05-21,90,12,42,3,0
2021-05-22,103,15,55,5,0
2021-05-23,109,13,47,5,1
2021-05-24,106,11,49,7,0
2021-05-25,126,14,65,6,0
2021-05-26,133,19,55,10,0
2021-05-27,108,17,54,2,0
2021-05-28,138,21,55,2,1
2021-05-29,76,11,41,1,0
2021-05-30,107,20,44,8,1
2021-05-31,80,12,29,7,1
2021-06-01,60,14,27,2,0
2021-06-02,36,4,19,0,0
2021-06-03,13,0,9,0,0
