"fecha","Salta","Capital","General Güemes","Orán","Grl. José de San Martín"
2020-09-17,323,197,30,18,10
2020-09-18,335,189,16,44,15
2020-09-19,265,160,16,22,13
2020-09-20,360,201,23,35,26
2020-09-21,314,163,19,30,15
2020-09-22,248,155,8,19,9
2020-09-23,263,161,11,22,15
2020-09-24,295,163,17,19,11
2020-09-25,266,158,20,15,12
2020-09-26,274,158,19,17,10
2020-09-27,266,148,13,17,6
2020-09-28,283,177,14,14,13
2020-09-29,243,135,17,21,7
2020-09-30,246,138,15,15,17
2020-10-01,287,158,16,25,19
2020-10-02,211,119,10,18,4
2020-10-03,217,108,8,18,17
2020-10-04,204,104,15,14,11
2020-10-05,198,91,20,6,5
2020-10-06,191,100,11,12,4
2020-10-07,192,84,15,9,5
2020-10-08,181,78,15,7,9
2020-10-09,192,89,12,8,8
2020-10-10,211,96,10,10,18
2020-10-11,147,78,10,6,4
2020-10-12,206,86,13,8,11
2020-10-13,162,61,12,13,9
2020-10-14,180,78,12,13,8
2020-10-15,177,76,13,10,7
2020-10-16,194,74,4,10,10
2020-10-17,169,69,4,7,7
2020-10-18,171,71,12,14,8
2020-10-19,193,84,12,10,13
2020-10-20,201,83,11,18,7
2020-10-21,143,56,6,7,11
2020-10-22,138,63,10,6,8
2020-10-23,119,51,3,8,11
2020-10-24,108,53,5,11,4
2020-10-25,121,57,6,9,10
2020-10-26,133,59,3,13,11
2020-10-27,94,37,3,7,5
2020-10-28,108,44,1,11,6
2020-10-29,105,38,3,12,7
2020-10-30,82,34,3,9,3
2020-10-31,59,23,2,9,4
2020-11-01,102,37,8,17,4
2020-11-02,97,33,7,9,5
2020-11-03,96,41,2,10,5
2020-11-04,79,26,4,5,4
2020-11-05,79,35,1,8,2
2020-11-06,72,28,1,7,5
2020-11-07,88,31,2,6,5
2020-11-08,103,41,4,5,5
2020-11-09,80,25,0,5,6
2020-11-10,81,21,4,11,9
2020-11-11,91,34,1,3,12
2020-11-12,79,24,1,3,10
2020-11-13,66,19,3,1,2
2020-11-14,69,15,1,5,11
2020-11-15,66,13,4,7,10
2020-11-16,80,21,1,2,8
2020-11-17,61,14,0,6,10
2020-11-18,49,16,2,2,7
2020-11-19,49,16,0,3,4
2020-11-20,52,14,0,0,8
2020-11-21,43,11,2,0,2
2020-11-22,34,14,0,0,4
2020-11-23,53,11,1,1,5
2020-11-24,51,15,1,1,6
2020-11-25,35,12,1,0,4
2020-11-26,34,7,1,1,5
2020-11-27,38,12,0,3,2
2020-11-28,32,11,0,2,2
2020-11-29,34,7,0,1,4
2020-11-30,25,4,0,1,0
2020-12-01,35,4,0,3,4
2020-12-02,37,9,2,2,4
2020-12-03,16,5,0,2,1
2020-12-04,26,5,0,4,0
2020-12-05,29,8,0,4,2
2020-12-06,21,7,0,2,1
2020-12-07,24,5,0,2,0
2020-12-08,27,8,0,1,1
2020-12-09,38,6,0,7,1
2020-12-10,43,7,0,6,1
2020-12-11,25,5,0,3,2
2020-12-12,44,9,1,5,0
2020-12-13,38,12,0,2,2
2020-12-14,40,9,1,3,4
2020-12-15,50,13,1,2,2
2020-12-16,37,10,1,4,1
2020-12-17,45,19,0,2,1
2020-12-18,41,13,2,2,0
2020-12-19,43,14,0,2,1
2020-12-20,38,11,0,2,0
2020-12-21,36,17,0,1,2
2020-12-22,22,9,0,0,3
2020-12-23,20,10,0,0,0
2020-12-24,30,15,0,1,1
2020-12-25,33,21,0,1,1
2020-12-26,29,12,0,2,0
2020-12-27,37,15,1,1,0
2020-12-28,43,13,1,2,3
2020-12-29,32,13,0,0,3
2020-12-30,34,17,0,2,3
2020-12-31,36,23,0,2,4
2021-01-01,54,16,0,8,9
2021-01-02,44,14,1,1,2
2021-01-03,51,20,1,3,1
2021-01-04,51,18,0,0,7
2021-01-05,55,20,1,1,2
2021-01-06,58,28,0,1,1
2021-01-07,46,19,0,1,3
2021-01-08,52,25,0,1,5
2021-01-09,55,30,1,3,1
2021-01-10,70,30,1,1,6
2021-01-11,56,19,1,5,4
2021-01-12,64,26,0,3,5
2021-01-13,57,20,0,4,2
2021-01-14,64,22,1,0,2
2021-01-15,50,26,0,2,5
2021-01-16,65,22,1,4,4
2021-01-17,46,21,0,4,2
2021-01-18,55,20,0,0,6
2021-01-19,59,25,0,0,3
2021-01-20,63,41,0,1,2
2021-01-21,61,41,1,1,1
2021-01-22,61,35,1,2,5
2021-01-23,46,19,0,2,3
2021-01-24,47,21,0,4,3
2021-01-25,69,33,1,0,5
2021-01-26,60,31,0,2,2
2021-01-27,56,17,4,4,6
2021-01-28,69,36,0,3,5
2021-01-29,65,39,0,1,3
2021-01-30,68,31,0,5,5
2021-01-31,77,44,0,2,4
2021-02-01,92,44,1,6,6
2021-02-02,72,34,1,6,4
2021-02-03,81,45,2,3,2
2021-02-04,82,37,2,1,6
2021-02-05,84,37,3,3,3
2021-02-06,72,35,1,3,3
2021-02-07,58,29,0,2,0
2021-02-08,76,39,0,1,3
2021-02-09,77,43,0,4,3
2021-02-10,72,42,2,2,4
2021-02-11,92,49,0,1,4
2021-02-12,84,45,4,1,2
2021-02-13,90,53,2,2,1
2021-02-14,104,55,2,1,2
2021-02-15,93,57,0,2,2
2021-02-16,136,83,2,4,2
2021-02-17,119,76,4,4,3
2021-02-18,104,47,2,9,7
2021-02-19,88,46,1,2,1
2021-02-20,98,63,1,0,2
2021-02-21,97,55,1,1,2
2021-02-22,126,62,2,6,3
2021-02-23,100,48,2,1,6
2021-02-24,101,51,4,3,2
2021-02-25,94,48,1,5,1
2021-02-26,90,53,1,3,4
2021-02-27,91,34,2,0,3
2021-02-28,131,63,2,6,5
2021-03-01,131,55,0,0,6
2021-03-02,96,50,0,4,2
2021-03-03,116,59,1,4,2
2021-03-04,91,51,0,3,5
2021-03-05,108,56,0,2,3
2021-03-06,103,42,1,3,2
2021-03-07,137,77,0,3,3
2021-03-08,114,51,1,8,7
2021-03-09,116,57,1,9,5
2021-03-10,120,50,0,10,7
2021-03-11,109,44,2,7,6
2021-03-12,93,39,1,6,4
2021-03-13,96,46,3,2,7
2021-03-14,120,58,1,7,4
2021-03-15,117,47,2,7,4
2021-03-16,113,49,2,10,4
2021-03-17,92,41,0,3,2
2021-03-18,102,59,0,3,1
2021-03-19,97,50,2,5,8
2021-03-20,105,41,1,4,4
2021-03-21,108,60,0,4,2
2021-03-22,118,65,0,3,4
2021-03-23,111,62,0,8,1
2021-03-24,109,57,2,5,3
2021-03-25,107,49,2,4,2
2021-03-26,120,68,1,1,1
2021-03-27,116,58,1,4,2
2021-03-28,132,84,1,5,1
2021-03-29,136,84,3,1,4
2021-03-30,139,91,1,6,5
2021-03-31,158,97,1,9,3
2021-04-01,199,104,0,12,3
2021-04-02,166,97,3,6,0
2021-04-03,168,101,0,6,4
2021-04-04,212,99,2,9,6
2021-04-05,234,121,0,11,6
2021-04-06,218,128,3,5,7
2021-04-07,200,108,3,7,6
2021-04-08,206,106,1,8,5
2021-04-09,208,109,3,9,10
2021-04-10,190,99,0,5,9
2021-04-11,170,91,1,6,6
2021-04-12,230,109,3,11,4
2021-04-13,203,94,3,3,7
2021-04-14,182,93,3,10,8
2021-04-15,168,90,2,9,3
2021-04-16,225,126,3,11,10
2021-04-17,186,100,3,16,5
2021-04-18,190,93,2,13,4
2021-04-19,238,112,3,9,5
2021-04-20,180,84,10,6,4
2021-04-21,170,89,4,7,2
2021-04-22,182,91,0,13,8
2021-04-23,182,96,5,7,10
2021-04-24,175,96,1,9,6
2021-04-25,200,97,0,9,11
2021-04-26,205,96,3,12,15
2021-04-27,164,75,1,15,18
2021-04-28,185,88,3,11,5
2021-04-29,178,97,1,7,5
2021-04-30,227,122,7,12,4
2021-05-01,235,111,2,10,6
2021-05-02,225,98,6,19,8
2021-05-03,276,127,3,12,10
2021-05-04,258,136,5,11,3
2021-05-05,249,116,2,17,8
2021-05-06,233,120,5,7,6
2021-05-07,256,136,6,8,9
2021-05-08,264,120,6,11,7
2021-05-09,268,142,10,12,5
2021-05-10,414,189,12,18,16
2021-05-11,309,165,12,8,12
2021-05-12,352,175,14,16,12
2021-05-13,374,193,16,11,10
2021-05-14,463,236,6,10,12
2021-05-15,466,232,13,13,15
2021-05-16,478,223,13,20,19
2021-05-17,576,283,12,19,16
2021-05-18,506,240,15,18,17
2021-05-19,476,252,7,15,17
2021-05-20,506,253,8,19,19
2021-05-21,467,252,11,13,5
2021-05-22,447,231,6,12,14
2021-05-23,477,239,7,12,18
2021-05-24,568,275,16,19,12
2021-05-25,598,296,11,24,18
2021-05-26,554,272,16,23,14
2021-05-27,529,253,12,16,19
2021-05-28,613,295,12,30,20
2021-05-29,531,255,17,18,18
2021-05-30,544,252,18,19,14
2021-05-31,657,298,23,40,29
2021-06-01,629,266,14,28,36
2021-06-02,536,240,24,36,17
2021-06-03,586,243,27,31,25
2021-06-04,573,261,14,32,18
2021-06-05,483,207,15,30,11
2021-06-06,531,230,20,21,12
2021-06-07,588,283,14,23,19
2021-06-08,496,220,13,23,17
2021-06-09,448,218,16,24,22
2021-06-10,479,222,19,25,21
2021-06-11,490,225,13,28,20
2021-06-12,468,235,8,22,8
2021-06-13,392,191,12,10,12
2021-06-14,526,280,17,25,19
2021-06-15,405,181,12,20,17
2021-06-16,432,210,11,22,17
2021-06-17,447,224,23,21,20
2021-06-18,476,243,17,20,22
2021-06-19,522,261,21,15,17
2021-06-20,538,282,20,18,20
2021-06-21,585,299,24,34,21
2021-06-22,533,252,26,18,23
2021-06-23,537,266,14,30,26
2021-06-24,493,259,12,16,25
2021-06-25,527,295,15,23,26
2021-06-26,473,238,15,35,30
2021-06-27,552,253,17,26,27
2021-06-28,588,290,12,37,40
2021-06-29,442,222,9,22,26
2021-06-30,479,219,12,34,30
2021-07-01,547,287,17,43,31
2021-07-02,476,230,17,23,36
2021-07-03,481,229,15,35,30
2021-07-04,442,228,9,27,23
2021-07-05,518,242,12,27,35
2021-07-06,445,206,12,19,43
2021-07-07,434,220,11,24,31
2021-07-08,491,232,14,25,50
2021-07-09,513,250,16,33,43
2021-07-10,508,249,16,24,37
2021-07-11,469,226,14,32,28
2021-07-12,555,270,9,24,53
2021-07-13,438,220,14,18,37
2021-07-14,360,179,11,22,20
2021-07-15,376,225,4,21,30
2021-07-16,360,193,5,18,38
2021-07-17,315,156,4,12,38
2021-07-18,342,169,9,20,38
2021-07-19,374,168,22,23,38
2021-07-20,338,156,10,16,50
2021-07-21,334,164,11,25,42
2021-07-22,344,173,15,25,29
2021-07-23,349,164,13,27,42
2021-07-24,308,140,8,20,28
2021-07-25,302,146,9,20,45
2021-07-26,342,139,15,33,34
2021-07-27,263,140,4,20,32
2021-07-28,267,133,12,13,27
2021-07-29,249,119,9,15,21
2021-07-30,309,161,11,21,30
2021-07-31,270,144,6,23,20
2021-08-01,296,139,10,20,21
2021-08-02,291,147,5,19,29
2021-08-03,272,148,8,14,26
2021-08-04,255,131,11,15,17
2021-08-05,226,105,11,16,23
2021-08-06,243,137,6,13,19
2021-08-07,232,117,7,16,27
2021-08-08,261,133,9,14,33
2021-08-09,190,98,9,11,21
2021-08-10,189,91,9,17,21
2021-08-11,189,97,7,13,22
2021-08-12,216,127,5,15,9
2021-08-13,226,125,4,16,18
2021-08-14,213,113,9,12,30
2021-08-15,215,93,4,25,28
2021-08-16,204,93,8,24,27
2021-08-17,150,55,11,18,16
2021-08-18,172,78,7,19,23
2021-08-19,186,99,3,15,16
2021-08-20,181,90,1,12,27
2021-08-21,167,104,3,12,15
2021-08-22,156,94,5,8,11
2021-08-23,155,70,4,12,23
2021-08-24,105,52,2,11,9
2021-08-25,116,72,4,5,9
2021-08-26,124,74,1,2,20
2021-08-27,125,73,4,4,8
2021-08-28,94,47,2,5,9
2021-08-29,124,53,6,3,15
2021-08-30,112,64,3,7,10
2021-08-31,71,34,2,4,7
2021-09-01,97,41,0,8,22
2021-09-02,92,53,1,4,11
2021-09-03,84,51,3,5,7
2021-09-04,64,33,2,3,11
2021-09-05,99,49,5,4,10
2021-09-06,59,36,0,5,5
2021-09-07,51,29,2,0,7
2021-09-08,38,18,2,0,9
2021-09-09,35,19,2,1,6
2021-09-10,66,40,3,4,6
2021-09-11,63,38,0,1,7
2021-09-12,72,48,3,4,4
2021-09-13,79,50,2,4,5
2021-09-14,40,17,4,4,3
2021-09-15,45,21,4,3,3
2021-09-16,50,28,1,2,8
2021-09-17,47,19,2,3,6
2021-09-18,35,14,1,5,5
2021-09-19,29,11,0,4,7
2021-09-20,67,40,1,4,8
2021-09-21,40,13,4,5,8
2021-09-22,41,18,3,4,2
2021-09-23,41,24,1,1,4
2021-09-24,61,26,2,7,9
2021-09-25,29,15,0,1,6
2021-09-26,33,9,1,3,12
2021-09-27,42,21,2,2,11
2021-09-28,34,17,4,1,5
2021-09-29,36,20,1,2,6
2021-09-30,20,8,2,0,1
2021-10-01,30,12,0,1,7
2021-10-02,24,12,0,0,4
2021-10-03,22,13,1,0,3
2021-10-04,26,13,1,3,4
2021-10-05,24,15,2,1,3
2021-10-06,28,14,1,0,7
2021-10-07,39,28,0,1,4
2021-10-08,31,19,1,3,4
2021-10-09,40,23,0,1,8
2021-10-10,38,19,1,2,10
2021-10-11,33,17,0,2,7
2021-10-12,42,24,2,2,7
2021-10-13,40,28,0,3,5
2021-10-14,37,21,0,2,8
2021-10-15,40,21,0,4,8
2021-10-16,39,19,0,3,8
2021-10-17,41,20,0,3,11
2021-10-18,39,14,0,1,17
2021-10-19,27,13,0,1,6
2021-10-20,21,11,0,1,3
2021-10-21,21,12,1,0,7
2021-10-22,5,3,0,0,0
2021-10-23,2,1,0,0,1
