"fecha","San Luis","La Capital","General Pedernera"
2020-12-25,29,19,4
2020-12-26,30,21,5
2020-12-27,41,35,2
2020-12-28,37,28,5
2020-12-29,47,35,7
2020-12-30,27,12,12
2020-12-31,31,14,11
2021-01-01,49,33,12
2021-01-02,46,27,12
2021-01-03,34,25,7
2021-01-04,55,37,17
2021-01-05,55,36,15
2021-01-06,47,32,12
2021-01-07,54,36,15
2021-01-08,73,38,24
2021-01-09,97,65,20
2021-01-10,139,90,36
2021-01-11,183,111,46
2021-01-12,232,135,67
2021-01-13,378,237,96
2021-01-14,702,445,165
2021-01-15,775,516,158
2021-01-16,883,600,194
2021-01-17,982,669,191
2021-01-18,898,593,183
2021-01-19,938,625,193
2021-01-20,837,581,160
2021-01-21,705,476,147
2021-01-22,412,287,76
2021-01-23,228,159,34
2021-01-24,175,125,29
2021-01-25,74,58,10
2021-01-26,48,33,10
2021-01-27,22,14,5
2021-01-28,14,8,4
2021-01-29,14,9,2
2021-01-30,14,10,2
2021-01-31,21,14,4
2021-02-01,23,20,0
2021-02-02,11,8,2
2021-02-03,20,15,3
2021-02-04,116,90,13
2021-02-05,458,315,81
2021-02-06,522,362,89
2021-02-07,515,355,107
2021-02-08,509,351,87
2021-02-09,479,307,99
2021-02-10,509,366,77
2021-02-11,512,363,95
2021-02-12,534,353,102
2021-02-13,165,106,36
2021-02-14,189,120,44
2021-02-15,145,98,38
2021-02-16,180,98,62
2021-02-17,210,116,68
2021-02-18,219,120,63
2021-02-19,210,122,54
2021-02-20,116,80,22
2021-02-21,101,64,27
2021-02-22,103,63,29
2021-02-23,96,61,23
2021-02-24,78,44,22
2021-02-25,16,7,5
2021-02-26,14,10,2
2021-02-27,13,5,5
2021-02-28,12,5,4
2021-03-01,10,8,0
2021-03-02,16,9,6
2021-03-03,263,150,76
2021-03-04,267,144,80
2021-03-05,259,160,61
2021-03-06,236,143,53
2021-03-07,261,157,74
2021-03-08,273,146,79
2021-03-09,226,121,58
2021-03-10,270,154,69
2021-03-11,7,4,2
2021-03-12,8,2,2
2021-03-13,12,5,3
2021-03-14,14,4,4
2021-03-15,13,7,4
2021-03-16,7,1,5
2021-03-17,147,83,44
2021-03-18,316,153,106
2021-03-19,329,171,110
2021-03-20,339,185,111
2021-03-21,392,229,113
2021-03-22,443,242,135
2021-03-23,487,283,112
2021-03-24,524,292,156
2021-03-25,390,211,118
2021-03-26,360,205,96
2021-03-27,297,163,82
2021-03-28,373,190,115
2021-03-29,443,218,137
2021-03-30,462,236,143
2021-03-31,499,256,155
2021-04-01,507,242,166
2021-04-02,557,288,159
2021-04-03,521,283,152
2021-04-04,561,290,162
2021-04-05,621,334,174
2021-04-06,679,353,191
2021-04-07,643,314,201
2021-04-08,614,326,180
2021-04-09,644,336,168
2021-04-10,621,323,166
2021-04-11,679,336,189
2021-04-12,687,376,185
2021-04-13,726,405,169
2021-04-14,652,354,153
2021-04-15,671,364,176
2021-04-16,686,379,164
2021-04-17,611,336,159
2021-04-18,576,317,131
2021-04-19,558,319,124
2021-04-20,557,318,147
2021-04-21,470,245,118
2021-04-22,478,257,119
2021-04-23,466,266,112
2021-04-24,418,228,106
2021-04-25,410,208,107
2021-04-26,428,219,106
2021-04-27,407,179,117
2021-04-28,350,161,109
2021-04-29,372,158,129
2021-04-30,356,156,125
2021-05-01,362,179,114
2021-05-02,353,150,119
2021-05-03,361,164,128
2021-05-04,382,170,134
2021-05-05,371,162,143
2021-05-06,352,154,116
2021-05-07,255,95,102
2021-05-08,216,96,74
2021-05-09,200,87,67
2021-05-10,181,64,73
2021-05-11,241,101,89
2021-05-12,280,111,114
2021-05-13,289,123,109
2021-05-14,326,127,124
2021-05-15,353,151,134
2021-05-16,429,177,161
2021-05-17,454,207,163
2021-05-18,472,211,153
2021-05-19,445,182,173
2021-05-20,399,167,139
2021-05-21,362,134,147
2021-05-22,359,131,136
2021-05-23,378,135,145
2021-05-24,377,141,124
2021-05-25,352,126,125
2021-05-26,339,129,115
2021-05-27,374,128,131
2021-05-28,312,108,117
2021-05-29,322,126,105
2021-05-30,336,108,140
2021-05-31,327,126,111
2021-06-01,349,125,127
2021-06-02,303,97,120
2021-06-03,320,102,92
2021-06-04,275,89,94
2021-06-05,271,100,78
2021-06-06,298,76,116
2021-06-07,299,105,95
2021-06-08,293,81,92
2021-06-09,257,86,75
2021-06-10,245,71,74
2021-06-11,220,83,71
2021-06-12,230,70,74
2021-06-13,197,57,72
2021-06-14,202,60,57
2021-06-15,214,66,62
2021-06-16,208,66,71
2021-06-17,226,69,70
2021-06-18,198,71,62
2021-06-19,201,69,71
2021-06-20,231,80,65
2021-06-21,234,62,71
2021-06-22,223,74,66
2021-06-23,229,78,75
2021-06-24,195,60,61
2021-06-25,203,61,64
2021-06-26,187,60,63
2021-06-27,185,52,58
2021-06-28,199,63,59
2021-06-29,171,67,41
2021-06-30,222,83,58
2021-07-01,208,70,63
2021-07-02,183,69,49
2021-07-03,175,71,46
2021-07-04,190,63,70
2021-07-05,188,72,50
2021-07-06,179,67,56
2021-07-07,175,69,49
2021-07-08,176,67,53
2021-07-09,176,80,41
2021-07-10,155,65,39
2021-07-11,171,59,51
2021-07-12,185,70,52
2021-07-13,139,61,30
2021-07-14,147,59,43
2021-07-15,147,63,39
2021-07-16,133,61,25
2021-07-17,108,61,17
2021-07-18,136,59,42
2021-07-19,132,59,32
2021-07-20,137,54,47
2021-07-21,139,63,35
2021-07-22,124,48,29
2021-07-23,150,58,37
2021-07-24,123,56,31
2021-07-25,115,52,26
2021-07-26,117,49,24
2021-07-27,123,60,25
2021-07-28,109,55,30
2021-07-29,119,53,34
2021-07-30,113,61,19
2021-07-31,103,42,28
2021-08-01,117,57,28
2021-08-02,98,48,21
2021-08-03,100,50,23
2021-08-04,87,46,22
2021-08-05,102,56,19
2021-08-06,77,30,22
2021-08-07,69,29,27
2021-08-08,64,35,16
2021-08-09,82,36,27
2021-08-10,64,30,19
2021-08-11,66,40,15
2021-08-12,65,35,19
2021-08-13,57,32,13
2021-08-14,50,23,20
2021-08-15,48,25,16
2021-08-16,58,32,11
2021-08-17,54,24,16
2021-08-18,37,19,7
2021-08-19,39,18,12
2021-08-20,34,20,9
2021-08-21,34,17,12
2021-08-22,35,19,12
2021-08-23,33,16,10
2021-08-24,37,21,9
2021-08-25,24,12,8
2021-08-26,15,8,4
2021-08-27,28,17,5
2021-08-28,19,11,5
2021-08-29,20,11,3
2021-08-30,17,11,4
2021-08-31,18,9,2
2021-09-01,14,10,4
2021-09-02,16,8,7
2021-09-03,10,7,2
2021-09-04,8,5,2
2021-09-05,15,7,3
2021-09-06,11,6,2
2021-09-07,11,7,2
2021-09-08,10,3,4
2021-09-09,4,2,0
2021-09-10,10,4,4
2021-09-11,9,5,2
2021-09-12,4,3,0
2021-09-13,8,4,1
2021-09-14,3,1,0
2021-09-15,7,3,1
2021-09-16,7,2,2
2021-09-17,7,4,1
2021-09-18,5,3,1
2021-09-19,6,1,3
2021-09-20,0,0,0
2021-09-21,3,2,0
2021-09-22,2,0,1
2021-09-23,3,2,1
2021-09-24,9,4,4
2021-09-25,4,1,2
2021-09-26,7,4,2
2021-09-27,5,1,4
2021-09-28,3,2,1
2021-09-29,0,0,0
2021-09-30,1,1,0
2021-10-01,1,1,0
2021-10-02,2,1,1
2021-10-03,1,1,0
2021-10-04,0,0,0
2021-10-05,2,2,0
2021-10-06,0,0,0
2021-10-07,2,2,0
2021-10-08,0,0,0
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,1,1,0
2021-10-12,0,0,0
2021-10-13,4,2,1
2021-10-14,0,0,0
2021-10-15,1,1,0
2021-10-16,0,0,0
2021-10-17,0,0,0
2021-10-18,1,0,1
