"fecha","Chubut","Escalante","Rawson","Biedma"
2020-07-06,7,7,0,0
2020-07-07,7,7,0,0
2020-07-08,0,0,0,0
2020-07-09,13,12,1,0
2020-07-10,5,5,0,0
2020-07-11,6,5,0,0
2020-07-12,8,8,0,0
2020-07-13,8,6,1,1
2020-07-14,5,5,0,0
2020-07-15,2,2,0,0
2020-07-16,5,4,0,1
2020-07-17,10,9,1,0
2020-07-18,1,1,0,0
2020-07-19,3,3,0,0
2020-07-20,3,3,0,0
2020-07-21,2,2,0,0
2020-07-22,5,4,0,1
2020-07-23,3,2,1,0
2020-07-24,4,4,0,0
2020-07-25,4,4,0,0
2020-07-26,4,4,0,0
2020-07-27,4,3,1,0
2020-07-28,8,6,1,0
2020-07-29,6,6,0,0
2020-07-30,4,3,0,0
2020-07-31,5,5,0,0
2020-08-01,7,7,0,0
2020-08-02,4,4,0,0
2020-08-03,10,9,1,0
2020-08-04,9,9,0,0
2020-08-05,26,15,1,0
2020-08-06,18,15,1,0
2020-08-07,16,16,0,0
2020-08-08,10,9,0,0
2020-08-09,8,8,0,0
2020-08-10,12,11,0,0
2020-08-11,11,8,1,0
2020-08-12,13,12,0,0
2020-08-13,12,11,0,0
2020-08-14,15,15,0,0
2020-08-15,20,14,1,4
2020-08-16,24,17,0,7
2020-08-17,34,28,0,6
2020-08-18,45,26,1,15
2020-08-19,41,32,0,8
2020-08-20,59,40,0,14
2020-08-21,63,55,0,7
2020-08-22,53,42,0,11
2020-08-23,66,44,2,19
2020-08-24,75,51,0,24
2020-08-25,87,62,3,22
2020-08-26,83,63,3,17
2020-08-27,84,59,4,21
2020-08-28,99,73,0,25
2020-08-29,60,46,0,14
2020-08-30,88,56,2,28
2020-08-31,102,72,3,27
2020-09-01,102,76,1,25
2020-09-02,97,60,2,33
2020-09-03,107,72,1,34
2020-09-04,83,48,0,32
2020-09-05,80,48,2,29
2020-09-06,96,57,2,34
2020-09-07,93,63,2,26
2020-09-08,109,58,6,40
2020-09-09,111,70,3,35
2020-09-10,104,54,1,48
2020-09-11,107,70,4,27
2020-09-12,91,54,1,33
2020-09-13,111,67,5,31
2020-09-14,172,110,2,51
2020-09-15,162,95,2,55
2020-09-16,179,92,4,72
2020-09-17,191,109,3,71
2020-09-18,220,123,8,79
2020-09-19,202,100,6,84
2020-09-20,241,137,2,87
2020-09-21,260,122,4,112
2020-09-22,228,117,7,89
2020-09-23,265,121,5,115
2020-09-24,232,108,6,99
2020-09-25,252,98,11,121
2020-09-26,226,104,13,90
2020-09-27,263,120,11,116
2020-09-28,296,138,22,119
2020-09-29,299,140,18,123
2020-09-30,352,193,16,129
2020-10-01,384,171,22,173
2020-10-02,362,185,26,137
2020-10-03,416,179,40,187
2020-10-04,388,133,44,204
2020-10-05,397,169,43,174
2020-10-06,358,139,31,166
2020-10-07,328,128,49,133
2020-10-08,361,187,31,132
2020-10-09,309,120,54,123
2020-10-10,407,152,66,174
2020-10-11,335,105,65,144
2020-10-12,416,131,80,193
2020-10-13,447,152,114,165
2020-10-14,488,135,154,180
2020-10-15,492,143,153,172
2020-10-16,456,127,139,167
2020-10-17,450,156,154,126
2020-10-18,434,161,139,120
2020-10-19,551,183,198,147
2020-10-20,468,160,190,96
2020-10-21,402,121,155,101
2020-10-22,387,143,131,97
2020-10-23,412,130,127,110
2020-10-24,433,142,174,98
2020-10-25,388,130,162,73
2020-10-26,371,107,150,84
2020-10-27,342,95,160,69
2020-10-28,337,84,146,94
2020-10-29,342,100,152,69
2020-10-30,352,104,147,72
2020-10-31,320,93,144,66
2020-11-01,320,103,113,87
2020-11-02,421,124,183,90
2020-11-03,387,130,159,68
2020-11-04,345,89,173,66
2020-11-05,314,113,140,43
2020-11-06,299,97,127,56
2020-11-07,322,108,133,49
2020-11-08,314,104,129,49
2020-11-09,356,115,158,54
2020-11-10,323,89,138,69
2020-11-11,285,76,125,41
2020-11-12,239,74,104,31
2020-11-13,322,91,130,62
2020-11-14,258,62,120,41
2020-11-15,238,65,108,42
2020-11-16,277,84,117,36
2020-11-17,243,70,111,42
2020-11-18,246,81,100,39
2020-11-19,197,65,86,30
2020-11-20,281,94,112,39
2020-11-21,197,85,64,30
2020-11-22,223,91,90,26
2020-11-23,285,109,105,39
2020-11-24,280,106,112,42
2020-11-25,227,89,90,30
2020-11-26,215,82,73,30
2020-11-27,217,93,72,40
2020-11-28,214,81,86,36
2020-11-29,247,98,88,41
2020-11-30,269,100,87,60
2020-12-01,237,85,76,50
2020-12-02,219,79,63,54
2020-12-03,171,65,44,40
2020-12-04,189,74,44,50
2020-12-05,211,73,61,52
2020-12-06,239,111,48,54
2020-12-07,263,111,68,59
2020-12-08,265,104,91,48
2020-12-09,297,114,101,52
2020-12-10,252,100,79,45
2020-12-11,279,110,84,57
2020-12-12,298,124,94,52
2020-12-13,296,135,94,43
2020-12-14,346,149,97,73
2020-12-15,313,120,91,57
2020-12-16,291,108,82,68
2020-12-17,270,101,82,54
2020-12-18,307,114,91,66
2020-12-19,314,127,82,60
2020-12-20,322,127,70,86
2020-12-21,330,126,72,79
2020-12-22,326,112,82,69
2020-12-23,351,119,92,73
2020-12-24,370,142,76,80
2020-12-25,395,135,94,96
2020-12-26,475,185,76,122
2020-12-27,435,169,106,74
2020-12-28,504,177,112,103
2020-12-29,342,109,98,60
2020-12-30,328,151,57,54
2020-12-31,372,154,91,53
2021-01-01,411,138,114,69
2021-01-02,428,174,104,84
2021-01-03,408,159,105,70
2021-01-04,462,144,97,86
2021-01-05,401,138,77,60
2021-01-06,357,118,83,42
2021-01-07,341,119,67,63
2021-01-08,328,111,73,58
2021-01-09,322,119,71,47
2021-01-10,299,106,59,56
2021-01-11,305,109,68,46
2021-01-12,270,91,54,46
2021-01-13,239,90,54,41
2021-01-14,213,85,39,26
2021-01-15,273,107,50,43
2021-01-16,276,112,55,39
2021-01-17,232,97,39,29
2021-01-18,284,108,49,38
2021-01-19,251,91,45,28
2021-01-20,230,85,39,29
2021-01-21,205,60,28,24
2021-01-22,187,77,31,17
2021-01-23,169,69,31,21
2021-01-24,189,65,29,19
2021-01-25,187,65,29,19
2021-01-26,140,46,24,16
2021-01-27,149,47,19,23
2021-01-28,152,61,24,14
2021-01-29,175,55,50,14
2021-01-30,151,51,29,13
2021-01-31,143,58,15,15
2021-02-01,154,39,26,18
2021-02-02,124,33,19,6
2021-02-03,126,46,16,2
2021-02-04,119,43,19,4
2021-02-05,108,31,19,9
2021-02-06,129,37,19,10
2021-02-07,126,37,10,6
2021-02-08,122,33,14,9
2021-02-09,106,34,13,9
2021-02-10,113,36,17,7
2021-02-11,75,24,8,11
2021-02-12,75,28,6,7
2021-02-13,87,33,7,10
2021-02-14,104,40,4,7
2021-02-15,85,32,8,6
2021-02-16,112,43,6,9
2021-02-17,75,26,2,5
2021-02-18,82,23,4,7
2021-02-19,100,30,7,6
2021-02-20,83,31,5,9
2021-02-21,79,32,7,3
2021-02-22,101,35,6,8
2021-02-23,66,11,7,2
2021-02-24,61,23,1,4
2021-02-25,66,16,4,2
2021-02-26,68,22,5,4
2021-02-27,71,18,3,3
2021-02-28,72,17,4,1
2021-03-01,99,28,9,4
2021-03-02,81,11,4,8
2021-03-03,81,17,3,3
2021-03-04,81,18,5,8
2021-03-05,75,11,7,3
2021-03-06,65,22,1,3
2021-03-07,65,14,3,4
2021-03-08,78,12,6,4
2021-03-09,80,17,1,5
2021-03-10,95,20,4,7
2021-03-11,62,19,4,2
2021-03-12,87,27,3,0
2021-03-13,67,22,2,1
2021-03-14,67,20,3,2
2021-03-15,64,11,2,6
2021-03-16,76,24,1,2
2021-03-17,45,15,0,1
2021-03-18,67,19,1,0
2021-03-19,79,23,2,0
2021-03-20,73,27,8,2
2021-03-21,74,30,1,0
2021-03-22,89,32,0,2
2021-03-23,84,26,7,2
2021-03-24,69,25,0,0
2021-03-25,62,34,2,0
2021-03-26,89,30,5,0
2021-03-27,83,33,2,2
2021-03-28,93,27,6,7
2021-03-29,86,27,1,4
2021-03-30,67,31,1,0
2021-03-31,49,18,2,1
2021-04-01,46,17,3,0
2021-04-02,61,15,1,0
2021-04-03,44,20,1,1
2021-04-04,26,8,0,2
2021-04-05,11,3,2,0
2021-04-06,1,1,0,0
