"fecha","Santa Fe","La Capital","Rosario","Caseros","General López"
2020-06-01,6,0,1,0,0
2020-06-02,4,0,2,0,0
2020-06-03,4,1,0,0,0
2020-06-04,11,1,1,1,0
2020-06-05,5,0,1,0,0
2020-06-06,0,0,0,0,0
2020-06-07,4,0,1,0,0
2020-06-08,3,1,0,0,0
2020-06-09,0,0,0,0,0
2020-06-10,1,0,1,0,0
2020-06-11,5,1,1,1,0
2020-06-12,6,1,1,0,3
2020-06-13,1,0,0,1,0
2020-06-14,10,1,2,1,3
2020-06-15,12,2,3,0,2
2020-06-16,10,1,3,1,4
2020-06-17,17,1,4,1,8
2020-06-18,13,1,1,0,9
2020-06-19,15,0,1,0,13
2020-06-20,23,3,4,1,13
2020-06-21,8,1,1,0,4
2020-06-22,11,2,1,0,6
2020-06-23,9,2,3,0,3
2020-06-24,13,2,0,0,8
2020-06-25,9,2,1,0,4
2020-06-26,9,2,1,0,1
2020-06-27,5,1,2,0,0
2020-06-28,4,0,3,0,1
2020-06-29,7,1,3,0,0
2020-06-30,8,1,2,0,0
2020-07-01,7,2,1,0,0
2020-07-02,10,0,6,0,0
2020-07-03,13,1,3,0,2
2020-07-04,11,0,4,0,1
2020-07-05,10,0,6,1,1
2020-07-06,18,0,11,1,2
2020-07-07,14,0,8,0,3
2020-07-08,28,3,19,0,3
2020-07-09,30,2,22,0,3
2020-07-10,24,1,13,2,4
2020-07-11,22,1,11,1,4
2020-07-12,25,3,16,0,6
2020-07-13,30,1,18,2,5
2020-07-14,30,0,23,4,2
2020-07-15,40,1,26,2,6
2020-07-16,39,0,20,2,11
2020-07-17,40,1,25,5,6
2020-07-18,35,0,26,5,4
2020-07-19,37,1,23,2,5
2020-07-20,61,2,35,11,8
2020-07-21,49,2,26,3,15
2020-07-22,43,2,26,8,4
2020-07-23,53,0,39,7,3
2020-07-24,59,0,38,11,3
2020-07-25,67,1,39,16,3
2020-07-26,78,0,54,11,2
2020-07-27,92,1,56,26,2
2020-07-28,103,3,57,23,4
2020-07-29,82,2,46,18,2
2020-07-30,85,5,51,18,4
2020-07-31,117,1,79,21,6
2020-08-01,142,8,70,35,8
2020-08-02,119,9,62,31,9
2020-08-03,182,26,94,31,13
2020-08-04,169,14,86,30,10
2020-08-05,141,15,68,24,10
2020-08-06,140,17,65,14,14
2020-08-07,174,15,84,34,15
2020-08-08,186,28,86,25,13
2020-08-09,152,22,70,16,19
2020-08-10,219,27,115,23,17
2020-08-11,188,16,96,24,23
2020-08-12,216,34,107,15,29
2020-08-13,210,30,106,8,31
2020-08-14,190,22,115,12,10
2020-08-15,247,24,139,16,26
2020-08-16,251,30,129,7,30
2020-08-17,321,34,184,13,33
2020-08-18,377,36,236,9,30
2020-08-19,383,43,217,9,46
2020-08-20,472,48,279,10,49
2020-08-21,433,33,284,19,36
2020-08-22,486,38,307,15,46
2020-08-23,520,44,323,12,48
2020-08-24,640,52,420,23,46
2020-08-25,659,46,403,26,56
2020-08-26,660,52,395,38,57
2020-08-27,673,52,406,38,44
2020-08-28,852,79,512,69,52
2020-08-29,721,58,442,46,42
2020-08-30,824,61,523,49,59
2020-08-31,874,92,537,30,65
2020-09-01,1044,99,675,51,85
2020-09-02,1022,105,598,73,80
2020-09-03,990,115,619,57,75
2020-09-04,1074,105,664,54,87
2020-09-05,1048,105,628,45,91
2020-09-06,1048,92,663,45,98
2020-09-07,1405,151,830,105,120
2020-09-08,1228,119,747,56,111
2020-09-09,1289,149,748,72,106
2020-09-10,1304,152,764,62,103
2020-09-11,1258,163,736,54,82
2020-09-12,1294,144,743,59,87
2020-09-13,1275,104,731,60,140
2020-09-14,1411,152,811,70,134
2020-09-15,1334,129,771,58,132
2020-09-16,1384,139,795,59,136
2020-09-17,1471,137,864,71,132
2020-09-18,1478,143,856,83,113
2020-09-19,1556,153,941,75,106
2020-09-20,1769,151,1076,99,131
2020-09-21,1794,166,1054,83,128
2020-09-22,1812,213,1034,76,125
2020-09-23,1793,171,1071,99,143
2020-09-24,1848,164,1130,73,93
2020-09-25,1940,170,1136,102,115
2020-09-26,1886,174,1125,85,128
2020-09-27,1794,172,1112,73,94
2020-09-28,2140,181,1369,57,108
2020-09-29,1963,168,1202,75,118
2020-09-30,1880,174,1107,66,118
2020-10-01,1986,190,1187,56,98
2020-10-02,1812,204,1068,55,103
2020-10-03,1875,170,1133,60,104
2020-10-04,1789,197,1025,65,121
2020-10-05,2070,242,1130,51,129
2020-10-06,1951,270,1054,48,121
2020-10-07,1987,246,1064,53,142
2020-10-08,1994,266,1046,46,144
2020-10-09,2045,283,1053,48,166
2020-10-10,2272,312,1189,56,186
2020-10-11,2134,287,1117,47,158
2020-10-12,2497,327,1297,53,204
2020-10-13,2458,309,1269,53,206
2020-10-14,2280,319,1150,33,194
2020-10-15,2275,318,1121,42,159
2020-10-16,2394,341,1182,64,172
2020-10-17,2135,295,1088,47,132
2020-10-18,2254,365,1081,31,175
2020-10-19,2413,412,1021,54,184
2020-10-20,2315,426,987,50,155
2020-10-21,2044,394,913,37,153
2020-10-22,1876,298,864,33,118
2020-10-23,1789,336,774,31,106
2020-10-24,1755,343,723,45,133
2020-10-25,1703,316,738,21,124
2020-10-26,1860,343,788,38,120
2020-10-27,1631,295,659,38,82
2020-10-28,1544,320,606,30,107
2020-10-29,1392,277,577,37,81
2020-10-30,1364,278,543,19,91
2020-10-31,1182,265,466,25,81
2020-11-01,1421,305,541,24,100
2020-11-02,1481,368,567,32,73
2020-11-03,1339,308,521,28,86
2020-11-04,1263,296,461,22,73
2020-11-05,1288,250,489,35,79
2020-11-06,1239,245,451,33,85
2020-11-07,1306,292,448,47,68
2020-11-08,1365,343,482,32,74
2020-11-09,1511,371,500,32,72
2020-11-10,1372,315,429,23,71
2020-11-11,1315,326,430,34,70
2020-11-12,1215,312,414,23,53
2020-11-13,1317,324,443,26,61
2020-11-14,1173,280,347,39,51
2020-11-15,1222,346,311,24,60
2020-11-16,1443,420,420,18,61
2020-11-17,1307,415,359,26,44
2020-11-18,1182,329,362,29,66
2020-11-19,1068,339,284,22,51
2020-11-20,1095,290,321,17,56
2020-11-21,1020,300,286,16,51
2020-11-22,1024,258,303,27,41
2020-11-23,1198,332,354,16,46
2020-11-24,1190,319,348,24,36
2020-11-25,1104,322,289,23,33
2020-11-26,1057,264,323,24,39
2020-11-27,1056,266,298,23,38
2020-11-28,995,265,318,12,31
2020-11-29,877,211,257,19,30
2020-11-30,985,240,273,17,31
2020-12-01,869,192,256,19,22
2020-12-02,770,198,231,7,26
2020-12-03,761,222,194,11,25
2020-12-04,754,193,224,7,21
2020-12-05,752,203,212,13,18
2020-12-06,769,193,181,8,33
2020-12-07,834,219,218,13,22
2020-12-08,870,247,208,11,37
2020-12-09,849,213,224,10,35
2020-12-10,895,209,243,9,31
2020-12-11,889,207,246,15,30
2020-12-12,899,235,244,4,28
2020-12-13,852,206,242,6,39
2020-12-14,921,245,258,8,41
2020-12-15,863,225,244,8,33
2020-12-16,802,233,238,5,25
2020-12-17,741,211,229,4,25
2020-12-18,742,168,235,6,24
2020-12-19,803,215,254,9,21
2020-12-20,800,216,228,8,33
2020-12-21,799,234,252,12,25
2020-12-22,789,228,248,5,33
2020-12-23,825,215,254,4,38
2020-12-24,765,169,279,8,25
2020-12-25,915,199,305,9,27
2020-12-26,1042,252,337,6,30
2020-12-27,1038,249,352,6,47
2020-12-28,1046,230,329,10,66
2020-12-29,927,242,292,4,32
2020-12-30,954,213,323,6,32
2020-12-31,1046,197,372,9,36
2021-01-01,1314,279,476,11,38
2021-01-02,1206,265,398,7,35
2021-01-03,1305,235,473,15,40
2021-01-04,1479,299,494,18,52
2021-01-05,1277,233,486,10,44
2021-01-06,1190,217,442,18,35
2021-01-07,1080,207,400,14,22
2021-01-08,1106,206,449,10,24
2021-01-09,1070,187,453,11,35
2021-01-10,1196,210,489,13,37
2021-01-11,1172,192,487,14,25
2021-01-12,1090,230,407,6,39
2021-01-13,923,152,379,20,32
2021-01-14,875,138,385,6,31
2021-01-15,880,138,347,6,30
2021-01-16,811,162,312,13,24
2021-01-17,816,150,316,15,25
2021-01-18,883,154,374,13,32
2021-01-19,749,126,295,6,34
2021-01-20,700,120,276,8,32
2021-01-21,565,108,229,11,19
2021-01-22,632,113,268,8,25
2021-01-23,573,118,243,8,20
2021-01-24,558,96,205,13,19
2021-01-25,597,115,231,11,24
2021-01-26,586,104,238,10,27
2021-01-27,478,73,206,9,22
2021-01-28,441,78,176,6,19
2021-01-29,461,75,190,9,29
2021-01-30,402,81,151,9,18
2021-01-31,419,60,177,7,21
2021-02-01,501,85,230,16,18
2021-02-02,440,62,186,11,14
2021-02-03,357,60,166,9,8
2021-02-04,372,60,153,8,16
2021-02-05,367,40,162,12,9
2021-02-06,323,62,124,6,10
2021-02-07,338,55,128,10,10
2021-02-08,361,57,145,10,13
2021-02-09,332,50,135,7,20
2021-02-10,332,55,130,7,15
2021-02-11,293,44,140,7,10
2021-02-12,315,58,109,3,13
2021-02-13,272,38,104,4,15
2021-02-14,326,37,141,9,16
2021-02-15,347,38,143,8,18
2021-02-16,395,47,155,12,27
2021-02-17,342,50,126,12,23
2021-02-18,346,50,131,7,17
2021-02-19,341,35,140,11,15
2021-02-20,380,39,151,15,20
2021-02-21,291,41,104,16,16
2021-02-22,358,49,157,7,13
2021-02-23,373,45,152,9,14
2021-02-24,327,47,132,8,20
2021-02-25,331,51,140,9,14
2021-02-26,347,43,139,9,18
2021-02-27,392,52,162,12,18
2021-02-28,359,47,140,13,15
2021-03-01,529,60,228,16,25
2021-03-02,407,53,180,8,20
2021-03-03,458,66,184,6,14
2021-03-04,406,52,169,13,17
2021-03-05,437,58,180,5,21
2021-03-06,388,73,153,9,15
2021-03-07,433,59,172,8,18
2021-03-08,496,68,211,6,16
2021-03-09,470,56,216,6,9
2021-03-10,452,68,189,8,18
2021-03-11,433,66,179,4,17
2021-03-12,464,65,177,9,16
2021-03-13,445,67,204,3,18
2021-03-14,449,61,190,13,18
2021-03-15,519,68,214,11,14
2021-03-16,499,50,230,7,14
2021-03-17,451,42,217,8,15
2021-03-18,494,64,206,4,15
2021-03-19,534,74,219,17,13
2021-03-20,521,74,220,9,14
2021-03-21,559,64,251,23,17
2021-03-22,623,81,298,21,20
2021-03-23,650,83,304,25,14
2021-03-24,679,92,309,16,28
2021-03-25,647,81,327,17,15
2021-03-26,791,99,383,20,13
2021-03-27,669,116,321,10,19
2021-03-28,757,97,386,24,27
2021-03-29,857,115,404,23,27
2021-03-30,746,98,326,19,21
2021-03-31,853,111,412,20,39
2021-04-01,1114,152,495,21,41
2021-04-02,1013,128,462,27,27
2021-04-03,1139,146,502,35,47
2021-04-04,1347,146,644,37,39
2021-04-05,1534,198,735,41,46
2021-04-06,1559,228,672,42,62
2021-04-07,1430,228,587,36,46
2021-04-08,1473,187,653,33,54
2021-04-09,1492,173,678,36,52
2021-04-10,1549,183,704,26,71
2021-04-11,1549,184,684,30,54
2021-04-12,1889,260,839,34,81
2021-04-13,1773,223,794,41,62
2021-04-14,1685,211,717,28,71
2021-04-15,1689,257,733,25,62
2021-04-16,1864,237,806,36,60
2021-04-17,1707,229,717,24,66
2021-04-18,1710,243,721,18,52
2021-04-19,1991,279,794,41,57
2021-04-20,1848,248,751,38,67
2021-04-21,1596,222,623,27,53
2021-04-22,1604,252,634,25,50
2021-04-23,1816,282,706,27,63
2021-04-24,1576,229,646,21,47
2021-04-25,1604,238,660,28,53
2021-04-26,1852,267,788,17,70
2021-04-27,1634,212,693,26,61
2021-04-28,1657,274,666,22,58
2021-04-29,1497,211,643,28,58
2021-04-30,1746,267,721,21,75
2021-05-01,1814,287,773,23,62
2021-05-02,1770,267,751,25,61
2021-05-03,1919,306,793,27,58
2021-05-04,1638,232,705,19,54
2021-05-05,1692,281,678,25,65
2021-05-06,1661,260,669,9,71
2021-05-07,1898,322,774,22,68
2021-05-08,1897,312,808,35,66
2021-05-09,2048,277,925,26,77
2021-05-10,2486,384,1033,41,102
2021-05-11,2261,334,922,35,96
2021-05-12,2477,394,1025,30,111
2021-05-13,2480,342,1118,43,102
2021-05-14,2669,475,1017,35,125
2021-05-15,3017,524,1211,62,130
2021-05-16,2924,447,1225,51,151
2021-05-17,3393,627,1393,63,110
2021-05-18,3151,536,1290,92,162
2021-05-19,2942,460,1235,61,161
2021-05-20,3061,497,1241,76,144
2021-05-21,2894,484,1159,64,116
2021-05-22,3000,544,1178,74,139
2021-05-23,2771,469,1146,81,121
2021-05-24,3180,507,1322,77,129
2021-05-25,2972,502,1146,64,121
2021-05-26,2977,495,1200,86,149
2021-05-27,2622,462,984,57,133
2021-05-28,2720,420,1044,60,121
2021-05-29,2546,404,1036,78,103
2021-05-30,2317,357,892,81,94
2021-05-31,2603,431,1008,70,114
2021-06-01,2586,404,1020,75,135
2021-06-02,2305,388,909,52,105
2021-06-03,2131,331,861,51,103
2021-06-04,2161,367,839,53,120
2021-06-05,2064,361,781,53,111
2021-06-06,2086,408,776,49,121
2021-06-07,2200,410,853,40,95
2021-06-08,1971,372,797,45,87
2021-06-09,1876,354,764,32,92
2021-06-10,1874,366,763,35,81
2021-06-11,1687,348,689,34,63
2021-06-12,1728,334,706,35,82
2021-06-13,1635,307,659,35,90
2021-06-14,1694,336,684,32,78
2021-06-15,1542,254,625,31,96
2021-06-16,1398,231,551,34,72
2021-06-17,1432,229,603,34,81
2021-06-18,1430,259,597,28,76
2021-06-19,1574,258,626,32,86
2021-06-20,1571,253,628,37,93
2021-06-21,1793,300,691,52,103
2021-06-22,1800,307,724,39,111
2021-06-23,1763,283,660,29,88
2021-06-24,1584,264,630,40,91
2021-06-25,1427,229,573,29,85
2021-06-26,1458,227,592,32,70
2021-06-27,1429,208,559,37,94
2021-06-28,1517,247,570,29,95
2021-06-29,1484,220,601,33,92
2021-06-30,1518,207,624,28,113
2021-07-01,1525,279,619,29,71
2021-07-02,1501,249,656,31,75
2021-07-03,1423,227,585,24,92
2021-07-04,1402,201,573,41,78
2021-07-05,1595,218,630,38,92
2021-07-06,1401,231,568,27,87
2021-07-07,1306,213,514,35,77
2021-07-08,1261,179,533,33,83
2021-07-09,1339,181,565,33,75
2021-07-10,1323,177,573,37,79
2021-07-11,1271,174,516,28,86
2021-07-12,1341,212,569,31,85
2021-07-13,1294,167,546,33,112
2021-07-14,1183,156,510,36,84
2021-07-15,1122,162,449,31,85
2021-07-16,1078,159,438,17,102
2021-07-17,1097,137,483,29,98
2021-07-18,1063,129,420,31,109
2021-07-19,1227,178,533,42,83
2021-07-20,1227,161,495,37,124
2021-07-21,1138,157,476,25,102
2021-07-22,1068,137,443,21,100
2021-07-23,1072,140,480,19,89
2021-07-24,1030,139,467,28,68
2021-07-25,1092,133,428,25,118
2021-07-26,1212,142,491,23,103
2021-07-27,1071,137,440,25,113
2021-07-28,943,129,385,14,82
2021-07-29,797,119,324,18,100
2021-07-30,893,109,384,20,93
2021-07-31,820,108,311,18,60
2021-08-01,1009,119,406,18,108
2021-08-02,1051,148,419,28,93
2021-08-03,912,145,374,16,79
2021-08-04,767,96,303,22,65
2021-08-05,697,87,283,16,91
2021-08-06,684,105,285,17,58
2021-08-07,667,106,273,15,58
2021-08-08,697,100,266,18,71
2021-08-09,657,96,225,20,66
2021-08-10,596,81,232,11,49
2021-08-11,567,83,227,10,57
2021-08-12,521,68,208,7,50
2021-08-13,501,82,182,6,43
2021-08-14,453,62,179,10,39
2021-08-15,502,80,163,5,55
2021-08-16,544,96,178,13,45
2021-08-17,490,67,172,11,36
2021-08-18,414,68,150,6,34
2021-08-19,342,53,113,6,25
2021-08-20,357,53,128,8,40
2021-08-21,274,47,112,2,21
2021-08-22,306,52,105,3,31
2021-08-23,323,54,130,4,26
2021-08-24,255,35,104,3,22
2021-08-25,231,29,93,11,17
2021-08-26,229,32,95,4,19
2021-08-27,200,32,77,5,16
2021-08-28,242,43,98,2,23
2021-08-29,211,27,84,6,23
2021-08-30,226,39,92,2,22
2021-08-31,208,24,96,7,16
2021-09-01,173,23,72,2,12
2021-09-02,135,22,65,0,8
2021-09-03,114,22,41,2,9
2021-09-04,124,14,58,2,8
2021-09-05,114,10,57,0,10
2021-09-06,126,24,56,0,6
2021-09-07,107,16,56,2,4
2021-09-08,119,20,58,2,3
2021-09-09,95,11,39,1,4
2021-09-10,90,13,43,0,5
2021-09-11,70,14,28,1,1
2021-09-12,75,14,25,1,5
2021-09-13,100,18,49,0,1
2021-09-14,72,14,30,2,2
2021-09-15,71,16,28,0,3
2021-09-16,63,10,27,0,3
2021-09-17,55,10,25,1,1
2021-09-18,53,6,17,1,2
2021-09-19,50,4,24,1,0
2021-09-20,50,10,20,0,1
2021-09-21,53,6,16,1,2
2021-09-22,49,7,23,0,0
2021-09-23,52,11,9,2,1
2021-09-24,57,7,26,2,1
2021-09-25,40,9,8,0,2
2021-09-26,44,6,9,0,2
2021-09-27,24,2,4,0,0
2021-09-28,26,5,10,0,1
2021-09-29,15,5,2,0,0
2021-09-30,8,2,1,0,0
2021-10-01,1,0,0,0,0
2021-10-02,1,0,0,0,0
