"fecha","Tierra del Fuego","Río Grande","Ushuaia"
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,2,0,2
2020-06-24,1,0,1
2020-06-25,4,0,4
2020-06-26,4,0,4
2020-06-27,4,0,4
2020-06-28,5,1,4
2020-06-29,3,1,2
2020-06-30,1,0,1
2020-07-01,5,0,5
2020-07-02,7,1,6
2020-07-03,6,0,6
2020-07-04,2,0,2
2020-07-05,1,0,1
2020-07-06,7,2,5
2020-07-07,2,0,2
2020-07-08,3,0,3
2020-07-09,0,0,0
2020-07-10,3,2,1
2020-07-11,2,2,0
2020-07-12,4,2,2
2020-07-13,10,4,5
2020-07-14,5,5,0
2020-07-15,8,7,1
2020-07-16,9,9,0
2020-07-17,15,13,1
2020-07-18,11,10,0
2020-07-19,17,14,1
2020-07-20,19,14,4
2020-07-21,21,21,0
2020-07-22,29,28,1
2020-07-23,36,31,3
2020-07-24,52,50,2
2020-07-25,44,43,0
2020-07-26,38,38,0
2020-07-27,65,63,2
2020-07-28,43,41,1
2020-07-29,52,50,1
2020-07-30,67,64,2
2020-07-31,101,98,0
2020-08-01,73,70,0
2020-08-02,77,71,1
2020-08-03,82,79,0
2020-08-04,51,47,2
2020-08-05,35,34,0
2020-08-06,55,53,0
2020-08-07,28,28,0
2020-08-08,48,48,0
2020-08-09,48,47,0
2020-08-10,53,52,0
2020-08-11,75,70,0
2020-08-12,52,51,0
2020-08-13,79,78,0
2020-08-14,24,20,2
2020-08-15,19,18,1
2020-08-16,4,4,0
2020-08-17,49,35,0
2020-08-18,34,31,3
2020-08-19,27,27,0
2020-08-20,23,23,0
2020-08-21,22,21,1
2020-08-22,22,19,1
2020-08-23,21,21,0
2020-08-24,5,5,0
2020-08-25,1,1,0
