"fecha","Santiago del Estero","Capital","Banda"
2020-12-27,86,67,2
2020-12-28,123,89,14
2020-12-29,108,64,20
2020-12-30,101,46,24
2020-12-31,116,65,19
2021-01-01,160,83,19
2021-01-02,118,64,14
2021-01-03,138,92,17
2021-01-04,176,120,25
2021-01-05,158,84,18
2021-01-06,174,95,24
2021-01-07,122,76,16
2021-01-08,161,99,24
2021-01-09,74,38,12
2021-01-10,161,80,23
2021-01-11,159,85,22
2021-01-12,101,58,13
2021-01-13,111,60,15
2021-01-14,105,44,13
2021-01-15,122,68,14
2021-01-16,81,42,7
2021-01-17,140,69,16
2021-01-18,94,55,3
2021-01-19,73,38,14
2021-01-20,95,53,9
2021-01-21,129,58,27
2021-01-22,106,52,11
2021-01-23,67,26,11
2021-01-24,84,41,11
2021-01-25,105,52,15
2021-01-26,53,31,6
2021-01-27,101,41,16
2021-01-28,131,53,23
2021-01-29,72,39,12
2021-01-30,80,37,5
2021-01-31,83,26,19
2021-02-01,71,41,8
2021-02-02,73,27,17
2021-02-03,57,28,6
2021-02-04,100,53,18
2021-02-05,70,44,9
2021-02-06,61,48,3
2021-02-07,66,40,9
2021-02-08,74,50,11
2021-02-09,54,35,7
2021-02-10,30,15,4
2021-02-11,45,30,9
2021-02-12,41,18,7
2021-02-13,40,19,5
2021-02-14,52,22,8
2021-02-15,64,37,9
2021-02-16,51,29,11
2021-02-17,48,23,10
2021-02-18,70,38,10
2021-02-19,52,36,2
2021-02-20,89,40,18
2021-02-21,64,37,7
2021-02-22,59,32,10
2021-02-23,63,27,18
2021-02-24,51,23,8
2021-02-25,69,38,15
2021-02-26,58,33,9
2021-02-27,58,36,9
2021-02-28,74,42,21
2021-03-01,74,45,10
2021-03-02,59,40,11
2021-03-03,49,33,7
2021-03-04,36,21,7
2021-03-05,62,42,8
2021-03-06,47,36,6
2021-03-07,79,49,13
2021-03-08,61,37,6
2021-03-09,89,59,19
2021-03-10,60,36,10
2021-03-11,69,45,9
2021-03-12,113,87,12
2021-03-13,72,47,13
2021-03-14,106,72,17
2021-03-15,108,77,20
2021-03-16,113,83,16
2021-03-17,50,36,6
2021-03-18,120,88,22
2021-03-19,115,79,15
2021-03-20,105,65,23
2021-03-21,105,74,21
2021-03-22,109,70,18
2021-03-23,114,73,16
2021-03-24,125,96,23
2021-03-25,98,58,25
2021-03-26,141,99,27
2021-03-27,97,72,14
2021-03-28,124,83,23
2021-03-29,130,80,29
2021-03-30,158,95,38
2021-03-31,108,74,14
2021-04-01,151,84,29
2021-04-02,151,87,29
2021-04-03,132,88,23
2021-04-04,140,81,17
2021-04-05,220,121,40
2021-04-06,215,131,33
2021-04-07,193,110,22
2021-04-08,207,119,37
2021-04-09,160,111,23
2021-04-10,184,122,18
2021-04-11,211,132,35
2021-04-12,220,141,34
2021-04-13,188,117,37
2021-04-14,206,115,44
2021-04-15,256,167,53
2021-04-16,219,143,41
2021-04-17,229,139,52
2021-04-18,232,148,46
2021-04-19,240,159,49
2021-04-20,255,153,58
2021-04-21,140,92,23
2021-04-22,190,101,45
2021-04-23,170,93,27
2021-04-24,187,117,32
2021-04-25,201,129,46
2021-04-26,207,116,38
2021-04-27,169,92,37
2021-04-28,183,97,27
2021-04-29,242,150,36
2021-04-30,180,89,37
2021-05-01,208,125,32
2021-05-02,224,140,29
2021-05-03,306,150,78
2021-05-04,307,167,47
2021-05-05,237,143,45
2021-05-06,364,215,81
2021-05-07,263,149,55
2021-05-08,308,169,33
2021-05-09,336,173,58
2021-05-10,544,321,109
2021-05-11,371,223,59
2021-05-12,442,232,74
2021-05-13,433,216,105
2021-05-14,514,299,105
2021-05-15,559,297,106
2021-05-16,649,342,168
2021-05-17,782,464,160
2021-05-18,638,340,152
2021-05-19,652,413,112
2021-05-20,602,362,133
2021-05-21,522,317,100
2021-05-22,457,253,66
2021-05-23,512,305,87
2021-05-24,600,349,94
2021-05-25,663,355,134
2021-05-26,550,296,155
2021-05-27,471,283,106
2021-05-28,570,379,112
2021-05-29,453,268,86
2021-05-30,574,344,113
2021-05-31,489,272,107
2021-06-01,592,282,155
2021-06-02,435,261,75
2021-06-03,574,347,119
2021-06-04,493,273,85
2021-06-05,533,292,90
2021-06-06,605,368,95
2021-06-07,582,324,126
2021-06-08,476,253,86
2021-06-09,450,219,93
2021-06-10,705,314,153
2021-06-11,382,177,74
2021-06-12,469,206,60
2021-06-13,641,251,103
2021-06-14,554,229,109
2021-06-15,487,162,100
2021-06-16,439,103,90
2021-06-17,335,139,60
2021-06-18,444,151,112
2021-06-19,447,156,90
2021-06-20,663,234,114
2021-06-21,541,206,88
2021-06-22,567,199,100
2021-06-23,468,158,99
2021-06-24,512,206,78
2021-06-25,544,169,93
2021-06-26,407,136,65
2021-06-27,554,199,108
2021-06-28,523,130,88
2021-06-29,451,126,69
2021-06-30,486,157,95
2021-07-01,628,213,120
2021-07-02,462,150,77
2021-07-03,469,160,69
2021-07-04,510,206,63
2021-07-05,669,266,96
2021-07-06,552,210,81
2021-07-07,701,281,127
2021-07-08,361,106,65
2021-07-09,484,180,90
2021-07-10,538,197,124
2021-07-11,470,157,111
2021-07-12,585,259,123
2021-07-13,410,154,85
2021-07-14,430,163,97
2021-07-15,435,222,80
2021-07-16,371,192,72
2021-07-17,302,133,47
2021-07-18,318,123,73
2021-07-19,331,150,63
2021-07-20,463,237,78
2021-07-21,287,141,66
2021-07-22,311,175,65
2021-07-23,254,130,49
2021-07-24,264,128,44
2021-07-25,341,189,64
2021-07-26,377,222,56
2021-07-27,336,154,73
2021-07-28,324,136,76
2021-07-29,272,160,37
2021-07-30,304,167,43
2021-07-31,251,110,35
2021-08-01,424,226,68
2021-08-02,373,137,57
2021-08-03,285,136,47
2021-08-04,260,156,49
2021-08-05,238,133,36
2021-08-06,193,100,25
2021-08-07,230,118,29
2021-08-08,236,117,40
2021-08-09,248,149,48
2021-08-10,228,126,31
2021-08-11,139,74,30
2021-08-12,117,39,19
2021-08-13,190,91,36
2021-08-14,125,59,17
2021-08-15,144,59,17
2021-08-16,169,76,26
2021-08-17,176,78,31
2021-08-18,164,92,22
2021-08-19,166,67,21
2021-08-20,172,49,25
2021-08-21,102,38,9
2021-08-22,128,52,16
2021-08-23,150,50,17
2021-08-24,91,26,11
2021-08-25,121,44,10
2021-08-26,59,19,12
2021-08-27,62,23,13
2021-08-28,60,23,9
2021-08-29,63,23,10
2021-08-30,67,25,8
2021-08-31,59,18,10
2021-09-01,50,23,8
2021-09-02,31,3,3
2021-09-03,25,2,9
2021-09-04,24,11,5
2021-09-05,22,11,3
2021-09-06,2,1,0
