"fecha","Catamarca","Capital","Valle Viejo","Belén"
2020-11-26,23,14,6,0
2020-11-27,41,31,3,0
2020-11-28,17,13,2,0
2020-11-29,33,22,6,0
2020-11-30,13,9,1,0
2020-12-01,29,24,3,0
2020-12-02,33,22,6,0
2020-12-03,36,30,3,0
2020-12-04,25,18,1,0
2020-12-05,37,30,5,0
2020-12-06,30,21,2,0
2020-12-07,25,21,1,0
2020-12-08,40,28,2,1
2020-12-09,25,21,3,0
2020-12-10,40,29,5,1
2020-12-11,42,30,8,0
2020-12-12,42,29,5,2
2020-12-13,27,15,6,0
2020-12-14,45,35,5,1
2020-12-15,31,24,1,1
2020-12-16,48,34,3,0
2020-12-17,42,35,3,0
2020-12-18,35,28,4,0
2020-12-19,37,33,0,0
2020-12-20,40,34,1,0
2020-12-21,43,36,1,0
2020-12-22,61,48,6,1
2020-12-23,68,51,4,1
2020-12-24,47,34,2,0
2020-12-25,62,47,3,1
2020-12-26,58,40,8,1
2020-12-27,71,51,8,2
2020-12-28,78,60,8,1
2020-12-29,87,72,6,0
2020-12-30,61,47,5,1
2020-12-31,53,38,6,2
2021-01-01,73,51,6,1
2021-01-02,68,44,10,1
2021-01-03,75,56,8,2
2021-01-04,80,44,14,3
2021-01-05,83,65,7,1
2021-01-06,78,50,10,6
2021-01-07,131,90,15,8
2021-01-08,109,70,13,8
2021-01-09,115,74,13,8
2021-01-10,140,92,14,14
2021-01-11,127,74,12,10
2021-01-12,153,88,18,18
2021-01-13,135,79,13,11
2021-01-14,102,58,8,9
2021-01-15,109,69,15,9
2021-01-16,93,51,11,6
2021-01-17,88,51,15,6
2021-01-18,71,39,13,3
2021-01-19,89,58,8,5
2021-01-20,93,58,11,1
2021-01-21,85,53,8,2
2021-01-22,91,58,11,1
2021-01-23,88,61,8,1
2021-01-24,108,68,9,2
2021-01-25,127,79,19,3
2021-01-26,127,76,18,4
2021-01-27,119,72,10,2
2021-01-28,95,65,9,2
2021-01-29,81,53,11,0
2021-01-30,100,69,7,1
2021-01-31,108,72,9,5
2021-02-01,103,57,14,1
2021-02-02,108,73,7,1
2021-02-03,100,56,14,2
2021-02-04,124,80,12,1
2021-02-05,138,82,17,2
2021-02-06,86,56,6,4
2021-02-07,75,49,9,3
2021-02-08,72,45,10,0
2021-02-09,77,39,15,3
2021-02-10,86,57,10,2
2021-02-11,77,44,7,3
2021-02-12,75,45,14,1
2021-02-13,82,60,6,0
2021-02-14,72,41,9,3
2021-02-15,86,56,8,3
2021-02-16,96,55,15,5
2021-02-17,98,59,13,4
2021-02-18,92,58,9,5
2021-02-19,80,48,7,4
2021-02-20,114,66,12,5
2021-02-21,81,43,8,4
2021-02-22,70,29,10,5
2021-02-23,71,46,6,2
2021-02-24,101,48,11,6
2021-02-25,113,72,9,9
2021-02-26,81,44,6,1
2021-02-27,74,49,7,2
2021-02-28,84,59,9,1
2021-03-01,103,70,12,0
2021-03-02,74,36,11,1
2021-03-03,68,40,9,1
2021-03-04,83,50,12,2
2021-03-05,83,46,10,3
2021-03-06,88,50,10,3
2021-03-07,99,61,13,3
2021-03-08,95,54,13,2
2021-03-09,102,49,11,5
2021-03-10,91,49,8,3
2021-03-11,114,51,20,2
2021-03-12,84,41,10,0
2021-03-13,85,37,18,0
2021-03-14,92,44,10,0
2021-03-15,76,32,9,2
2021-03-16,75,29,10,1
2021-03-17,112,46,21,2
2021-03-18,87,47,8,0
2021-03-19,68,28,4,1
2021-03-20,75,32,7,4
2021-03-21,79,34,11,0
2021-03-22,101,56,8,3
2021-03-23,94,54,4,2
2021-03-24,87,40,11,3
2021-03-25,104,60,5,5
2021-03-26,92,41,10,1
2021-03-27,95,48,8,2
2021-03-28,64,26,2,2
2021-03-29,99,46,3,0
2021-03-30,101,51,5,7
2021-03-31,131,56,14,6
2021-04-01,119,52,13,3
2021-04-02,163,67,16,4
2021-04-03,178,90,8,2
2021-04-04,136,69,10,5
2021-04-05,187,95,15,5
2021-04-06,168,96,12,7
2021-04-07,158,68,11,2
2021-04-08,158,68,5,2
2021-04-09,146,71,8,0
2021-04-10,135,53,6,4
2021-04-11,159,71,13,4
2021-04-12,183,86,11,1
2021-04-13,176,82,20,3
2021-04-14,188,78,13,2
2021-04-15,180,95,9,9
2021-04-16,148,72,10,5
2021-04-17,159,79,12,8
2021-04-18,184,90,17,2
2021-04-19,168,77,10,9
2021-04-20,177,81,17,2
2021-04-21,166,80,13,10
2021-04-22,139,59,11,4
2021-04-23,127,61,7,4
2021-04-24,143,77,9,8
2021-04-25,142,68,8,7
2021-04-26,154,72,13,11
2021-04-27,133,60,12,13
2021-04-28,123,60,10,4
2021-04-29,147,88,12,4
2021-04-30,143,76,9,4
2021-05-01,138,82,10,7
2021-05-02,168,99,8,8
2021-05-03,184,93,18,9
2021-05-04,168,97,14,6
2021-05-05,186,115,17,9
2021-05-06,198,115,14,12
2021-05-07,208,120,17,8
2021-05-08,215,137,14,7
2021-05-09,249,148,20,7
2021-05-10,302,174,21,19
2021-05-11,300,177,28,10
2021-05-12,308,183,32,13
2021-05-13,351,194,33,18
2021-05-14,355,201,26,12
2021-05-15,311,167,34,5
2021-05-16,311,190,34,9
2021-05-17,435,285,46,10
2021-05-18,380,222,46,16
2021-05-19,398,229,41,14
2021-05-20,386,212,39,10
2021-05-21,376,208,38,14
2021-05-22,316,177,31,13
2021-05-23,397,230,40,13
2021-05-24,386,233,42,13
2021-05-25,380,224,39,15
2021-05-26,408,225,42,14
2021-05-27,395,227,35,14
2021-05-28,359,186,31,14
2021-05-29,368,213,35,15
2021-05-30,365,201,45,15
2021-05-31,395,216,47,15
2021-06-01,418,249,33,14
2021-06-02,415,239,44,8
2021-06-03,355,202,43,8
2021-06-04,412,241,34,24
2021-06-05,348,201,36,10
2021-06-06,329,194,30,14
2021-06-07,337,188,32,15
2021-06-08,319,180,32,9
2021-06-09,327,178,29,15
2021-06-10,324,173,20,15
2021-06-11,273,147,21,18
2021-06-12,241,130,20,12
2021-06-13,236,117,18,7
2021-06-14,248,140,24,6
2021-06-15,269,155,18,10
2021-06-16,259,151,29,10
2021-06-17,287,158,30,17
2021-06-18,244,128,23,11
2021-06-19,283,174,23,11
2021-06-20,253,140,21,10
2021-06-21,304,160,32,10
2021-06-22,329,176,20,15
2021-06-23,354,176,38,21
2021-06-24,298,144,33,18
2021-06-25,300,146,33,10
2021-06-26,301,138,32,14
2021-06-27,253,109,28,5
2021-06-28,304,149,32,11
2021-06-29,266,119,28,16
2021-06-30,289,139,29,13
2021-07-01,265,112,33,15
2021-07-02,240,115,30,8
2021-07-03,225,107,26,6
2021-07-04,251,129,19,9
2021-07-05,204,104,22,7
2021-07-06,222,131,16,6
2021-07-07,222,108,35,6
2021-07-08,252,128,23,8
2021-07-09,188,112,12,5
2021-07-10,244,104,35,13
2021-07-11,260,130,26,4
2021-07-12,238,93,37,9
2021-07-13,246,90,30,8
2021-07-14,292,150,33,8
2021-07-15,255,125,34,5
2021-07-16,227,107,22,11
2021-07-17,217,123,16,6
2021-07-18,208,107,18,11
2021-07-19,232,120,35,10
2021-07-20,248,136,31,3
2021-07-21,228,122,28,5
2021-07-22,233,108,39,3
2021-07-23,257,144,35,7
2021-07-24,259,131,48,3
2021-07-25,257,135,36,3
2021-07-26,216,115,24,9
2021-07-27,213,112,25,6
2021-07-28,236,120,39,4
2021-07-29,230,127,23,2
2021-07-30,199,109,19,2
2021-07-31,186,79,35,4
2021-08-01,203,91,27,5
2021-08-02,192,95,35,2
2021-08-03,187,84,24,3
2021-08-04,215,76,30,3
2021-08-05,210,89,27,12
2021-08-06,162,59,13,4
2021-08-07,160,67,14,8
2021-08-08,171,79,11,0
2021-08-09,193,79,28,2
2021-08-10,196,89,12,3
2021-08-11,178,76,16,5
2021-08-12,160,58,16,3
2021-08-13,141,61,17,4
2021-08-14,114,48,10,1
2021-08-15,169,69,11,6
2021-08-16,181,66,12,1
2021-08-17,171,49,14,1
2021-08-18,161,52,22,0
2021-08-19,150,62,12,0
2021-08-20,139,56,11,2
2021-08-21,170,68,8,1
2021-08-22,141,48,14,2
2021-08-23,142,40,15,1
2021-08-24,190,53,13,1
2021-08-25,157,53,10,4
2021-08-26,131,45,5,1
2021-08-27,126,25,6,8
2021-08-28,117,34,5,6
2021-08-29,108,27,2,8
2021-08-30,102,20,5,9
2021-08-31,76,10,1,8
2021-09-01,46,8,3,1
2021-09-02,16,0,0,3
