"fecha","Buenos Aires","La Matanza","Avellaneda","Lanús","Lomas de Zamora","Quilmes","La Plata","General Pueyrredón","Bahía Blanca"
2020-03-07,1,0,0,0,0,0,0,0,0
2020-03-08,7,0,0,1,0,1,0,0,0
2020-03-09,8,0,1,0,0,2,0,0,0
2020-03-10,10,0,1,0,0,0,0,1,0
2020-03-11,5,1,0,0,1,0,0,0,0
2020-03-12,21,0,0,0,0,0,0,0,1
2020-03-13,12,1,1,0,0,0,1,0,0
2020-03-14,20,2,0,1,0,1,0,0,1
2020-03-15,20,0,0,0,0,0,0,0,0
2020-03-16,27,2,1,1,0,2,0,0,1
2020-03-17,27,1,0,1,2,3,0,0,0
2020-03-18,25,2,1,1,1,1,1,1,3
2020-03-19,34,2,1,0,0,0,0,1,0
2020-03-20,39,1,2,2,4,2,1,1,0
2020-03-21,35,3,1,2,2,0,2,0,2
2020-03-22,29,2,0,0,1,1,2,0,1
2020-03-23,36,1,1,3,0,2,1,0,0
2020-03-24,31,1,2,1,1,2,0,1,0
2020-03-25,33,2,1,0,0,2,0,2,0
2020-03-26,34,2,0,1,2,1,0,1,2
2020-03-27,37,5,0,1,0,1,2,2,0
2020-03-28,25,2,0,0,0,2,2,1,0
2020-03-29,23,0,0,0,2,1,0,1,1
2020-03-30,40,5,0,1,2,1,4,1,0
2020-03-31,35,2,4,2,2,2,0,0,1
2020-04-01,42,2,0,1,3,2,0,0,0
2020-04-02,55,5,3,1,3,3,1,0,2
2020-04-03,41,6,2,1,1,0,2,1,0
2020-04-04,31,1,3,1,1,2,1,1,0
2020-04-05,28,1,0,1,1,0,1,0,0
2020-04-06,42,2,2,0,2,2,6,0,0
2020-04-07,39,4,0,1,3,1,0,0,3
2020-04-08,59,5,1,0,2,4,4,0,4
2020-04-09,54,4,4,1,1,1,2,0,4
2020-04-10,65,8,1,1,0,3,2,1,3
2020-04-11,63,3,0,0,0,4,3,1,2
2020-04-12,61,3,4,2,1,2,1,1,1
2020-04-13,73,7,1,2,2,4,3,0,1
2020-04-14,66,6,3,1,2,2,2,0,0
2020-04-15,77,6,4,4,2,3,2,2,1
2020-04-16,76,4,2,4,0,5,2,0,0
2020-04-17,90,12,2,1,4,12,1,1,1
2020-04-18,95,12,2,1,4,4,0,2,2
2020-04-19,74,9,4,4,3,3,2,0,1
2020-04-20,127,17,5,2,4,2,3,0,0
2020-04-21,83,10,4,4,2,3,0,0,0
2020-04-22,95,13,0,1,5,6,4,1,2
2020-04-23,82,12,3,4,4,6,1,0,0
2020-04-24,83,8,4,0,3,6,3,0,1
2020-04-25,90,11,1,3,0,11,2,0,0
2020-04-26,86,10,5,5,2,13,1,0,1
2020-04-27,70,11,3,3,1,5,0,0,0
2020-04-28,84,11,3,3,1,5,0,0,0
2020-04-29,75,10,1,2,1,3,0,2,0
2020-04-30,77,9,1,2,4,8,0,0,0
2020-05-01,86,7,3,7,2,5,2,0,0
2020-05-02,87,18,3,3,3,1,1,2,0
2020-05-03,89,11,5,4,4,6,0,1,1
2020-05-04,109,15,5,6,2,4,1,2,2
2020-05-05,118,12,4,10,1,10,1,1,1
2020-05-06,100,11,11,5,2,6,1,0,0
2020-05-07,95,11,4,6,7,13,1,1,0
2020-05-08,107,14,5,3,1,6,0,1,2
2020-05-09,103,11,8,6,5,8,1,0,2
2020-05-10,163,31,6,8,10,11,3,3,2
2020-05-11,148,18,7,9,14,12,4,3,1
2020-05-12,170,26,3,5,9,11,2,3,0
2020-05-13,184,29,10,7,10,12,2,2,1
2020-05-14,198,28,9,10,15,11,2,4,3
2020-05-15,223,28,13,11,15,25,2,1,2
2020-05-16,279,34,14,22,18,39,6,0,0
2020-05-17,252,35,21,11,17,23,6,3,4
2020-05-18,341,47,17,21,8,50,3,2,2
2020-05-19,332,44,27,20,14,40,11,0,2
2020-05-20,369,45,31,19,17,41,10,4,1
2020-05-21,307,35,39,19,15,37,10,2,2
2020-05-22,332,35,22,19,17,52,11,4,1
2020-05-23,301,36,32,19,6,46,12,4,0
2020-05-24,346,46,26,13,19,52,8,3,0
2020-05-25,439,51,44,21,28,50,11,5,0
2020-05-26,448,48,38,28,21,67,15,2,2
2020-05-27,435,62,33,30,16,55,14,0,1
2020-05-28,449,67,38,22,21,49,9,2,0
2020-05-29,451,68,30,19,22,47,11,0,4
2020-05-30,426,48,38,31,26,46,12,0,2
2020-05-31,407,68,32,28,24,34,1,2,1
2020-06-01,668,97,41,39,42,52,18,4,1
2020-06-02,611,79,44,40,46,59,18,0,0
2020-06-03,605,85,42,36,33,63,12,2,1
2020-06-04,653,100,49,39,41,56,14,1,0
2020-06-05,700,102,44,32,43,59,14,1,0
2020-06-06,718,93,47,42,41,41,20,5,1
2020-06-07,741,95,50,47,41,60,8,1,0
2020-06-08,870,149,55,39,45,52,20,1,0
2020-06-09,856,112,58,52,56,61,24,2,1
2020-06-10,1013,165,55,60,65,70,28,2,0
2020-06-11,892,119,49,51,63,64,19,2,0
2020-06-12,1009,157,60,80,72,67,30,2,1
2020-06-13,1014,182,68,62,67,61,19,4,1
2020-06-14,1047,150,58,69,76,77,27,1,2
2020-06-15,1316,204,92,88,88,108,26,1,2
2020-06-16,1394,211,81,87,94,97,50,2,4
2020-06-17,1339,207,93,70,92,97,38,1,3
2020-06-18,1498,225,93,67,101,102,40,2,4
2020-06-19,1546,255,70,79,106,124,31,3,1
2020-06-20,1811,252,93,95,148,123,43,3,2
2020-06-21,1463,236,84,94,101,97,46,0,1
2020-06-22,1852,260,73,131,119,136,42,4,3
2020-06-23,1658,246,74,83,107,116,50,4,5
2020-06-24,1622,247,80,84,116,115,32,4,3
2020-06-25,1602,241,81,81,87,111,61,1,4
2020-06-26,1785,282,112,102,102,133,63,0,4
2020-06-27,1631,241,53,83,114,122,34,0,9
2020-06-28,1750,301,74,74,80,144,45,2,8
2020-06-29,1921,319,78,85,109,126,37,3,6
2020-06-30,1891,309,82,104,111,117,45,1,9
2020-07-01,2463,376,100,124,133,179,54,6,22
2020-07-02,2029,330,77,105,122,133,33,12,16
2020-07-03,2198,330,100,117,109,162,57,13,11
2020-07-04,2177,368,81,108,126,155,48,13,17
2020-07-05,2201,342,94,96,112,145,56,23,11
2020-07-06,2401,350,65,130,102,185,60,28,25
2020-07-07,2494,381,98,136,119,151,68,31,8
2020-07-08,2304,326,87,82,116,143,78,26,15
2020-07-09,2437,371,97,112,123,183,73,37,14
2020-07-10,3104,378,115,160,151,263,88,42,16
2020-07-11,2599,381,122,99,126,187,68,21,16
2020-07-12,2914,389,128,154,129,206,76,35,19
2020-07-13,3235,442,120,189,151,246,76,43,15
2020-07-14,3179,459,136,162,146,219,96,39,12
2020-07-15,3614,517,127,186,169,287,113,42,14
2020-07-16,3222,447,139,147,133,262,112,29,12
2020-07-17,3558,476,128,137,182,282,133,36,16
2020-07-18,3763,469,152,175,192,261,131,45,9
2020-07-19,3597,443,154,167,170,310,111,33,9
2020-07-20,4944,662,179,246,231,387,160,51,22
2020-07-21,3778,525,138,217,182,284,136,25,9
2020-07-22,3618,518,136,139,213,264,125,29,19
2020-07-23,3685,496,160,174,176,260,123,29,12
2020-07-24,3972,545,161,171,195,321,131,22,17
2020-07-25,4057,545,167,179,201,292,166,27,11
2020-07-26,4069,566,162,161,225,301,146,55,15
2020-07-27,4826,646,196,232,215,308,198,41,12
2020-07-28,4363,641,168,206,211,306,158,43,10
2020-07-29,4160,594,192,176,179,323,174,34,13
2020-07-30,4282,622,149,176,204,304,199,42,12
2020-07-31,4483,594,172,195,226,357,196,54,16
2020-08-01,5888,763,224,263,250,399,213,62,16
2020-08-02,4988,688,169,173,228,341,208,61,7
2020-08-03,5551,772,215,229,261,387,238,64,11
2020-08-04,4914,709,203,187,278,358,183,68,13
2020-08-05,4566,696,155,191,183,290,179,65,18
2020-08-06,4476,645,188,163,266,314,192,59,16
2020-08-07,4593,615,185,215,252,292,160,71,13
2020-08-08,4422,606,182,197,207,281,170,93,14
2020-08-09,4028,520,163,151,175,273,161,91,19
2020-08-10,5233,704,191,188,199,326,218,103,15
2020-08-11,3885,473,144,167,136,259,168,106,12
2020-08-12,4041,528,155,165,164,277,120,97,17
2020-08-13,4010,547,121,171,176,223,132,122,8
2020-08-14,4274,529,159,169,172,289,158,118,12
2020-08-15,4458,586,171,178,191,271,189,114,13
2020-08-16,4385,563,169,195,205,249,162,133,9
2020-08-17,5010,637,186,196,206,315,187,150,26
2020-08-18,5324,672,177,206,203,307,207,173,18
2020-08-19,4802,542,156,189,187,266,210,150,21
2020-08-20,6064,685,165,209,223,362,226,191,34
2020-08-21,5154,580,193,174,200,304,197,166,22
2020-08-22,5280,630,174,176,206,330,203,192,29
2020-08-23,5476,607,169,187,233,327,229,209,36
2020-08-24,6519,738,198,213,302,393,270,220,36
2020-08-25,6139,734,195,217,254,339,226,227,34
2020-08-26,5644,621,206,214,232,304,210,227,47
2020-08-27,5457,627,156,205,208,302,252,193,36
2020-08-28,5888,659,171,209,209,327,245,272,36
2020-08-29,4845,515,168,158,198,260,184,256,40
2020-08-30,5208,606,134,176,180,262,208,265,40
2020-08-31,5745,601,178,201,208,302,204,359,61
2020-09-01,6297,703,188,244,209,331,224,398,53
2020-09-02,5479,571,166,185,179,264,195,378,65
2020-09-03,5384,529,147,187,198,258,235,362,58
2020-09-04,5508,558,136,198,177,307,199,349,61
2020-09-05,5450,518,156,187,167,282,213,334,61
2020-09-06,5255,507,159,190,170,249,210,308,68
2020-09-07,6117,604,178,208,190,309,266,348,74
2020-09-08,5520,535,141,191,165,268,192,356,67
2020-09-09,5268,499,139,157,165,250,207,307,85
2020-09-10,5542,542,128,158,159,273,228,300,85
2020-09-11,4749,421,131,168,141,231,178,313,65
2020-09-12,4622,474,115,156,153,222,198,301,76
2020-09-13,4562,397,141,143,119,187,175,274,90
2020-09-14,5206,494,127,142,156,256,190,331,91
2020-09-15,4902,498,116,149,149,181,213,347,96
2020-09-16,4374,403,91,129,142,200,165,284,105
2020-09-17,4231,365,88,83,132,179,164,320,81
2020-09-18,4628,379,96,137,122,223,174,340,104
2020-09-19,4526,469,101,127,128,171,193,313,106
2020-09-20,5227,459,113,154,152,188,174,343,99
2020-09-21,5144,428,90,136,158,216,185,383,122
2020-09-22,4710,375,75,120,147,172,153,328,124
2020-09-23,4619,421,85,98,151,193,190,280,118
2020-09-24,4558,395,77,117,134,164,195,328,115
2020-09-25,4873,414,72,108,146,211,162,334,132
2020-09-26,4684,335,80,138,127,219,169,293,122
2020-09-27,4702,400,68,126,136,181,162,309,109
2020-09-28,5298,442,81,142,152,186,168,348,135
2020-09-29,4614,365,75,91,122,148,156,321,101
2020-09-30,4382,341,65,124,122,181,161,301,114
2020-10-01,4861,364,62,115,130,173,167,323,115
2020-10-02,4357,338,81,105,108,161,130,320,105
2020-10-03,4304,332,73,100,108,176,139,277,114
2020-10-04,4171,325,74,89,101,193,164,272,96
2020-10-05,4924,396,67,103,138,218,178,317,128
2020-10-06,4489,328,97,93,126,193,151,298,128
2020-10-07,4249,305,52,92,102,152,189,279,143
2020-10-08,4263,338,74,101,99,143,156,289,121
2020-10-09,4162,276,67,99,113,136,144,255,108
2020-10-10,4924,345,73,80,120,164,170,277,140
2020-10-11,3985,290,70,97,87,121,125,273,128
2020-10-12,4736,340,95,111,102,168,151,276,162
2020-10-13,4579,260,73,100,118,148,132,299,134
2020-10-14,4086,315,71,73,97,126,134,291,127
2020-10-15,4078,302,52,95,101,127,131,247,144
2020-10-16,3868,219,61,72,100,139,133,236,116
2020-10-17,3699,224,51,57,81,123,109,228,121
2020-10-18,3974,255,64,59,104,111,109,226,110
2020-10-19,4097,234,57,74,102,135,102,277,108
2020-10-20,4090,251,40,98,79,143,121,248,117
2020-10-21,3250,180,48,49,77,112,88,238,113
2020-10-22,3074,207,37,50,66,76,99,216,110
2020-10-23,3141,203,47,58,76,81,89,206,83
2020-10-24,3018,181,42,51,79,101,75,179,99
2020-10-25,3276,210,55,58,78,103,97,207,88
2020-10-26,3301,201,45,73,83,106,111,217,100
2020-10-27,2962,163,44,65,61,78,98,195,74
2020-10-28,2775,163,38,57,84,75,71,172,72
2020-10-29,2557,152,40,66,90,79,67,158,58
2020-10-30,2692,168,45,70,63,84,72,167,68
2020-10-31,2314,136,25,44,65,54,74,164,63
2020-11-01,2954,187,36,68,69,79,76,172,79
2020-11-02,2912,172,31,61,67,74,84,196,65
2020-11-03,2777,167,34,56,69,94,63,176,73
2020-11-04,2584,140,32,50,57,72,61,200,71
2020-11-05,2484,145,36,61,56,105,71,145,57
2020-11-06,2524,144,41,52,76,104,78,136,67
2020-11-07,2430,155,36,63,57,76,56,143,87
2020-11-08,2580,162,33,56,66,74,83,167,64
2020-11-09,2833,174,32,52,65,64,98,179,71
2020-11-10,2692,143,29,50,69,89,84,154,83
2020-11-11,2156,128,30,40,59,74,50,135,68
2020-11-12,2084,134,30,43,44,91,60,109,52
2020-11-13,2289,155,40,48,62,87,66,121,74
2020-11-14,1971,126,32,50,54,71,50,99,61
2020-11-15,2112,142,25,45,46,69,43,116,74
2020-11-16,2163,133,27,40,59,65,51,117,75
2020-11-17,1856,120,29,42,50,64,43,80,54
2020-11-18,1844,110,29,42,50,56,53,109,58
2020-11-19,1651,85,28,49,41,52,40,107,42
2020-11-20,1862,94,26,56,54,42,39,101,63
2020-11-21,1546,83,19,33,37,47,40,105,39
2020-11-22,1661,114,18,36,34,51,33,98,60
2020-11-23,1890,106,22,60,43,68,44,125,44
2020-11-24,1822,111,24,44,40,55,29,139,51
2020-11-25,1674,102,14,48,36,40,46,117,53
2020-11-26,1507,94,18,33,46,31,30,96,41
2020-11-27,1576,99,21,36,50,58,36,98,52
2020-11-28,1394,75,20,37,44,35,31,87,41
2020-11-29,1404,97,26,31,35,36,45,64,35
2020-11-30,1632,100,17,42,46,54,40,117,35
2020-12-01,1640,95,17,27,47,54,43,124,30
2020-12-02,1382,89,14,21,36,43,24,95,24
2020-12-03,1365,86,9,34,37,45,35,87,27
2020-12-04,1253,70,12,27,31,28,26,93,26
2020-12-05,1329,67,22,29,36,31,42,88,20
2020-12-06,1529,89,14,30,32,52,39,104,28
2020-12-07,1628,101,29,32,45,50,31,126,28
2020-12-08,1753,96,28,35,47,58,51,118,33
2020-12-09,1935,115,24,46,56,57,52,156,36
2020-12-10,1996,134,28,37,42,67,43,179,38
2020-12-11,1901,111,39,44,46,43,55,184,35
2020-12-12,2085,121,38,35,52,60,49,183,37
2020-12-13,2118,104,34,45,48,68,67,169,30
2020-12-14,2397,120,46,60,66,69,73,201,49
2020-12-15,2473,124,39,44,89,88,77,207,46
2020-12-16,2239,114,35,50,85,67,61,173,40
2020-12-17,2239,132,47,66,81,65,57,177,45
2020-12-18,2387,144,40,55,80,69,62,220,42
2020-12-19,2398,135,38,62,68,74,72,205,39
2020-12-20,2862,174,54,76,83,71,90,225,49
2020-12-21,2701,178,49,68,98,102,93,242,37
2020-12-22,2673,168,41,81,83,72,99,253,52
2020-12-23,2889,182,72,85,70,76,87,271,57
2020-12-24,2932,201,76,89,91,75,120,237,52
2020-12-25,3311,177,74,82,75,114,106,249,64
2020-12-26,3636,265,85,110,100,120,134,300,71
2020-12-27,3849,242,77,120,112,136,132,300,87
2020-12-28,3890,277,91,134,133,105,143,288,77
2020-12-29,3288,211,60,98,87,82,143,275,88
2020-12-30,3358,233,87,105,94,93,105,293,67
2020-12-31,3533,245,67,90,105,139,109,283,96
2021-01-01,4489,347,100,133,134,153,152,275,86
2021-01-02,4291,267,90,127,116,190,157,263,111
2021-01-03,5039,332,76,156,194,189,147,297,138
2021-01-04,5210,373,89,168,169,183,165,305,118
2021-01-05,4644,318,94,133,162,184,161,290,92
2021-01-06,4361,274,75,150,124,185,141,269,113
2021-01-07,4170,290,64,127,145,157,157,232,82
2021-01-08,3996,289,73,93,131,139,125,224,108
2021-01-09,4044,277,69,122,134,134,148,259,104
2021-01-10,4513,330,87,117,147,150,181,262,92
2021-01-11,4114,273,80,117,129,163,148,260,96
2021-01-12,4264,356,68,134,150,153,187,228,73
2021-01-13,3836,289,78,128,108,153,153,240,76
2021-01-14,3700,296,71,116,114,135,140,247,89
2021-01-15,4007,331,81,120,131,140,139,231,82
2021-01-16,3749,315,86,118,110,148,128,225,77
2021-01-17,3588,273,70,120,121,139,118,234,68
2021-01-18,4071,296,103,113,173,160,134,274,75
2021-01-19,3636,283,95,97,148,145,118,245,69
2021-01-20,3684,280,69,131,164,134,114,206,60
2021-01-21,3193,233,74,89,127,112,108,200,63
2021-01-22,3118,224,73,103,129,97,112,182,46
2021-01-23,3190,234,77,90,161,116,92,215,53
2021-01-24,3215,228,74,99,163,111,94,166,54
2021-01-25,3656,266,81,120,159,131,103,261,58
2021-01-26,3364,248,58,94,143,122,78,216,57
2021-01-27,3227,235,78,97,136,134,100,216,63
2021-01-28,2891,211,57,91,117,111,96,181,77
2021-01-29,2753,238,57,104,127,97,87,140,82
2021-01-30,2665,149,74,63,98,124,121,180,63
2021-01-31,2707,186,75,79,94,122,130,169,66
2021-02-01,3142,240,81,77,120,149,131,198,70
2021-02-02,2637,172,66,85,115,112,104,148,52
2021-02-03,2105,159,42,65,87,89,91,129,49
2021-02-04,1919,117,33,61,77,73,75,133,51
2021-02-05,1813,116,41,57,76,100,73,106,23
2021-02-06,1326,88,36,37,52,61,66,86,13
2021-02-07,1024,71,30,34,43,56,48,60,27
2021-02-08,706,50,12,17,27,39,30,62,6
2021-02-09,351,26,4,13,11,19,13,18,3
2021-02-10,171,11,6,5,6,10,4,10,1
2021-02-11,150,10,3,7,2,6,1,10,2
2021-02-12,144,15,6,6,4,4,4,10,0
2021-02-13,149,6,4,6,6,5,7,12,2
2021-02-14,155,11,2,9,3,7,10,13,4
2021-02-15,204,14,3,12,8,9,14,6,5
2021-02-16,169,13,1,10,7,6,12,4,7
2021-02-17,200,17,4,3,9,14,10,11,1
2021-02-18,166,7,2,10,6,6,5,9,1
2021-02-19,171,13,6,10,2,5,10,5,1
2021-02-20,183,17,9,11,7,10,7,9,2
2021-02-21,177,18,4,7,5,10,8,9,2
2021-02-22,167,8,2,4,6,6,9,16,2
2021-02-23,171,11,3,3,5,3,8,11,2
2021-02-24,156,7,3,3,6,6,7,8,5
2021-02-25,147,6,7,5,7,7,6,6,2
2021-02-26,173,14,2,9,9,8,6,12,3
2021-02-27,132,14,2,6,4,10,3,2,2
2021-02-28,188,15,1,8,9,3,2,10,2
2021-03-01,206,8,5,6,10,9,11,8,3
2021-03-02,162,11,5,4,10,10,5,12,0
2021-03-03,174,13,2,13,8,11,7,11,2
2021-03-04,177,16,4,3,10,11,2,12,1
2021-03-05,186,11,5,11,7,13,10,10,2
2021-03-06,143,12,2,4,7,3,5,5,1
2021-03-07,188,12,1,6,1,8,11,4,1
2021-03-08,210,21,2,5,9,15,3,7,2
2021-03-09,213,21,4,12,11,7,6,5,4
2021-03-10,215,14,5,8,3,8,12,12,3
2021-03-11,179,11,4,9,3,3,6,6,3
2021-03-12,201,18,6,8,9,9,6,4,4
2021-03-13,218,20,3,6,7,13,9,8,3
2021-03-14,229,23,5,7,5,13,12,5,3
2021-03-15,245,12,6,10,11,11,15,6,2
2021-03-16,204,13,11,6,4,11,11,4,1
2021-03-17,208,13,6,7,4,13,12,5,2
2021-03-18,244,24,4,8,5,17,13,10,3
2021-03-19,245,25,4,5,6,16,16,6,1
2021-03-20,299,20,5,16,12,18,18,7,6
2021-03-21,244,19,7,7,10,9,17,9,4
2021-03-22,336,20,8,14,10,23,19,8,7
2021-03-23,375,39,9,14,13,9,26,13,6
2021-03-24,320,17,4,17,12,19,26,9,6
2021-03-25,368,21,12,11,7,18,26,10,4
2021-03-26,424,28,14,14,12,23,39,8,4
2021-03-27,398,26,18,19,14,25,29,16,6
2021-03-28,490,49,18,18,19,19,41,7,10
2021-03-29,497,35,18,15,18,13,45,6,11
2021-03-30,479,27,9,22,27,22,38,10,11
2021-03-31,463,34,3,23,18,20,38,12,5
2021-04-01,529,38,12,18,18,20,30,10,8
2021-04-02,485,45,13,20,13,22,29,10,7
2021-04-03,444,36,20,22,16,25,28,9,10
2021-04-04,400,31,19,16,18,20,20,12,4
2021-04-05,266,26,10,1,6,11,25,4,2
2021-04-06,155,15,5,6,1,8,9,5,2
2021-04-07,66,6,0,2,3,3,4,0,1
2021-04-08,21,2,1,2,0,1,1,0,1
2021-04-09,14,4,0,0,0,0,0,1,0
2021-04-10,14,2,0,1,0,0,2,0,0
2021-04-11,20,1,0,0,0,2,0,1,1
2021-04-12,8,1,1,1,0,1,0,0,0
2021-04-13,20,2,0,0,0,0,1,0,0
2021-04-14,16,1,1,0,1,1,0,0,0
2021-04-15,21,2,0,0,1,0,0,0,2
2021-04-16,14,2,2,0,0,3,0,0,0
2021-04-17,9,1,0,0,1,1,0,0,0
2021-04-18,10,2,1,0,0,1,0,0,0
2021-04-19,15,5,0,0,1,2,0,0,0
2021-04-20,20,6,1,1,0,0,0,0,0
2021-04-21,11,1,0,0,1,0,0,1,0
2021-04-22,10,1,0,0,2,0,0,0,0
2021-04-23,9,1,1,1,0,0,0,1,0
2021-04-24,16,4,0,0,1,0,0,1,0
2021-04-25,14,2,0,0,1,1,0,0,1
2021-04-26,14,4,0,2,0,0,1,0,0
2021-04-27,5,0,0,0,0,2,0,0,0
2021-04-28,15,0,0,0,1,1,0,0,0
2021-04-29,8,0,0,0,1,0,0,0,0
2021-04-30,12,3,0,0,0,3,0,0,0
2021-05-01,17,1,1,1,0,1,0,0,0
2021-05-02,7,0,0,0,1,2,0,0,0
2021-05-03,18,3,0,0,0,0,1,1,0
2021-05-04,12,2,0,2,1,0,0,0,0
2021-05-05,15,2,0,1,1,0,0,0,0
2021-05-06,7,1,1,1,0,0,0,0,0
2021-05-07,2,0,0,0,0,0,0,0,0
2021-05-08,11,1,0,0,2,0,0,0,0
2021-05-09,9,4,1,0,0,0,0,0,0
2021-05-10,15,3,1,0,0,0,0,1,1
2021-05-11,6,0,0,0,0,0,0,1,0
2021-05-12,7,1,0,0,0,0,0,1,0
2021-05-13,8,0,0,1,0,1,0,0,0
2021-05-14,7,0,0,1,0,1,1,0,0
2021-05-15,12,2,0,0,0,2,0,0,0
2021-05-16,12,1,0,0,0,1,0,0,0
2021-05-17,13,3,0,1,0,0,0,1,0
2021-05-18,12,2,0,1,2,0,0,0,0
2021-05-19,14,4,0,0,1,1,0,0,0
2021-05-20,14,2,1,0,0,1,0,0,0
2021-05-21,11,1,1,0,0,0,0,0,0
2021-05-22,4,2,0,0,0,1,0,0,0
2021-05-23,5,1,0,0,0,0,0,0,0
2021-05-24,9,2,0,0,0,0,0,0,0
2021-05-25,4,0,1,0,0,0,0,0,0
2021-05-26,3,0,0,0,0,0,0,0,0
2021-05-27,5,4,0,0,0,0,0,0,0
2021-05-28,9,1,0,0,0,0,0,2,0
2021-05-29,6,1,0,0,0,0,0,0,0
2021-05-30,5,0,0,0,0,0,0,0,0
2021-05-31,16,5,1,1,0,0,0,0,1
2021-06-01,4,2,0,0,0,0,0,0,0
2021-06-02,11,1,1,0,0,0,0,0,0
2021-06-03,11,0,1,0,0,1,0,0,1
2021-06-04,9,0,1,1,0,0,0,0,1
2021-06-05,5,0,0,0,0,1,0,0,0
2021-06-06,6,4,0,0,0,0,0,0,0
2021-06-07,8,1,0,0,0,0,0,0,0
2021-06-08,4,0,2,0,0,1,0,0,0
2021-06-09,5,0,0,0,0,0,0,0,0
2021-06-10,4,0,0,1,0,1,0,0,0
2021-06-11,4,0,0,0,0,1,0,0,0
2021-06-12,10,3,0,0,0,0,0,1,0
2021-06-13,15,1,0,1,1,0,0,0,0
2021-06-14,3,1,0,0,0,0,0,1,0
2021-06-15,8,2,0,0,2,0,0,1,0
2021-06-16,5,2,0,0,0,0,0,0,0
2021-06-17,10,3,0,0,0,0,0,1,0
2021-06-18,6,1,0,0,0,0,0,0,0
2021-06-19,4,1,0,1,0,0,0,0,0
2021-06-20,6,1,0,0,0,0,0,0,0
2021-06-21,5,2,0,0,0,0,0,0,0
2021-06-22,6,1,0,0,0,0,0,0,0
2021-06-23,4,1,1,0,0,0,1,0,0
2021-06-24,4,1,0,0,0,0,0,0,0
2021-06-25,3,1,0,0,0,0,0,0,1
2021-06-26,3,0,0,0,0,1,0,0,0
2021-06-27,1,0,0,0,0,0,0,0,0
