"fecha","Mendoza","Capital","Las Heras","Luján de Cuyo","Guaymallén","San Martín"
2020-04-30,3,0,0,1,0,1
2020-05-01,3,0,0,0,1,0
2020-05-02,2,0,0,0,0,1
2020-05-03,0,0,0,0,0,0
2020-05-04,3,1,0,0,1,0
2020-05-05,3,0,2,0,1,0
2020-05-06,0,0,0,0,0,0
2020-05-07,1,0,0,0,0,0
2020-05-08,3,1,1,0,1,0
2020-05-09,2,0,0,0,0,0
2020-05-10,2,0,0,0,0,0
2020-05-11,1,0,1,0,0,0
2020-05-12,0,0,0,0,0,0
2020-05-13,3,0,2,0,0,0
2020-05-14,1,0,0,0,1,0
2020-05-15,2,0,0,0,0,0
2020-05-16,0,0,0,0,0,0
2020-05-17,2,1,1,0,0,0
2020-05-18,0,0,0,0,0,0
2020-05-19,1,0,0,0,0,0
2020-05-20,2,1,0,0,0,0
2020-05-21,1,0,1,0,0,0
2020-05-22,0,0,0,0,0,0
2020-05-23,2,0,2,0,0,0
2020-05-24,3,0,1,0,1,0
2020-05-25,2,0,1,0,0,0
2020-05-26,2,0,1,0,0,0
2020-05-27,2,0,2,0,0,0
2020-05-28,6,1,3,0,1,0
2020-05-29,6,2,2,1,0,0
2020-05-30,4,1,1,0,0,0
2020-05-31,2,0,0,0,0,1
2020-06-01,1,0,1,0,0,0
2020-06-02,1,0,0,0,0,0
2020-06-03,0,0,0,0,0,0
2020-06-04,3,0,2,0,0,0
2020-06-05,2,0,0,0,1,0
2020-06-06,0,0,0,0,0,0
2020-06-07,3,0,1,0,1,0
2020-06-08,4,0,0,0,0,0
2020-06-09,2,0,0,0,0,0
2020-06-10,4,0,0,0,1,0
2020-06-11,5,0,3,0,1,0
2020-06-12,4,0,0,0,0,0
2020-06-13,1,0,0,0,1,0
2020-06-14,5,0,1,0,1,0
2020-06-15,9,0,0,2,1,0
2020-06-16,3,0,0,1,0,0
2020-06-17,5,0,2,1,0,0
2020-06-18,12,2,1,1,1,0
2020-06-19,3,0,0,1,0,0
2020-06-20,14,1,0,1,2,1
2020-06-21,7,0,1,2,1,0
2020-06-22,6,2,1,1,0,0
2020-06-23,4,0,0,0,0,1
2020-06-24,15,1,0,0,4,3
2020-06-25,8,0,0,0,3,0
2020-06-26,5,0,1,0,1,1
2020-06-27,10,1,0,2,1,3
2020-06-28,8,1,0,1,1,1
2020-06-29,17,2,2,0,4,2
2020-06-30,10,2,0,1,0,2
2020-07-01,16,0,0,4,3,1
2020-07-02,9,1,1,0,3,1
2020-07-03,18,4,2,1,2,0
2020-07-04,19,2,2,3,3,0
2020-07-05,20,1,2,5,4,0
2020-07-06,27,1,5,2,2,0
2020-07-07,27,7,2,0,3,1
2020-07-08,31,3,1,6,6,2
2020-07-09,26,3,3,4,5,1
2020-07-10,24,1,1,3,7,1
2020-07-11,25,1,2,5,4,1
2020-07-12,34,4,2,5,8,1
2020-07-13,55,7,2,2,10,5
2020-07-14,66,7,7,11,11,7
2020-07-15,55,4,7,6,12,2
2020-07-16,66,9,7,7,17,4
2020-07-17,68,2,8,14,14,6
2020-07-18,45,4,3,11,12,2
2020-07-19,48,5,7,5,14,1
2020-07-20,89,5,11,10,19,8
2020-07-21,66,8,7,9,12,4
2020-07-22,70,4,10,12,13,7
2020-07-23,71,5,7,11,16,7
2020-07-24,71,6,15,7,13,5
2020-07-25,97,6,8,17,23,11
2020-07-26,123,20,18,18,22,6
2020-07-27,130,14,17,23,20,13
2020-07-28,96,22,16,11,13,8
2020-07-29,121,17,22,11,22,8
2020-07-30,111,17,14,18,23,6
2020-07-31,145,13,25,13,20,24
2020-08-01,118,18,19,6,22,9
2020-08-02,97,8,14,12,19,3
2020-08-03,135,19,18,16,27,8
2020-08-04,113,15,18,10,24,0
2020-08-05,158,17,14,23,36,3
2020-08-06,161,16,22,15,37,5
2020-08-07,186,20,25,19,48,3
2020-08-08,183,25,34,24,42,0
2020-08-09,160,15,19,18,36,13
2020-08-10,191,19,27,16,47,4
2020-08-11,216,28,26,16,47,4
2020-08-12,222,26,43,20,50,5
2020-08-13,200,21,36,26,31,4
2020-08-14,227,22,35,13,42,7
2020-08-15,231,24,43,23,47,6
2020-08-16,233,25,34,24,49,4
2020-08-17,273,23,48,16,60,9
2020-08-18,332,44,62,25,50,9
2020-08-19,316,31,56,38,68,15
2020-08-20,338,33,51,36,79,9
2020-08-21,361,37,54,29,76,15
2020-08-22,354,42,57,24,77,10
2020-08-23,369,38,50,25,87,9
2020-08-24,437,51,68,51,100,6
2020-08-25,402,41,49,36,89,17
2020-08-26,468,62,64,34,107,15
2020-08-27,480,46,63,45,110,10
2020-08-28,553,62,83,46,139,18
2020-08-29,454,43,78,37,105,11
2020-08-30,523,55,72,41,123,15
2020-08-31,624,61,83,50,122,16
2020-09-01,727,80,101,46,148,42
2020-09-02,611,56,85,43,132,30
2020-09-03,667,55,90,36,149,36
2020-09-04,671,67,101,61,143,23
2020-09-05,724,66,110,35,147,47
2020-09-06,663,69,87,47,132,21
2020-09-07,769,74,108,34,167,25
2020-09-08,735,75,102,44,163,19
2020-09-09,642,64,103,49,146,17
2020-09-10,642,67,104,46,113,30
2020-09-11,659,65,96,39,125,24
2020-09-12,632,54,85,45,139,28
2020-09-13,602,48,95,42,100,27
2020-09-14,611,50,102,39,121,35
2020-09-15,627,53,104,19,110,28
2020-09-16,634,41,98,40,137,39
2020-09-17,608,56,86,42,106,23
2020-09-18,601,48,88,41,97,38
2020-09-19,584,57,95,33,107,37
2020-09-20,676,50,97,43,129,35
2020-09-21,649,45,105,40,131,30
2020-09-22,690,48,105,44,146,38
2020-09-23,599,45,83,30,132,29
2020-09-24,675,46,126,47,114,33
2020-09-25,635,49,105,44,113,48
2020-09-26,571,41,89,45,101,37
2020-09-27,595,46,77,43,95,22
2020-09-28,626,51,99,41,106,36
2020-09-29,615,43,96,40,102,40
2020-09-30,558,50,89,42,100,37
2020-10-01,660,51,91,41,88,48
2020-10-02,696,38,126,57,98,34
2020-10-03,687,57,91,51,90,31
2020-10-04,620,34,85,40,110,31
2020-10-05,683,51,99,47,110,48
2020-10-06,675,37,95,48,99,25
2020-10-07,696,45,97,47,115,32
2020-10-08,691,46,91,42,110,32
2020-10-09,740,44,91,47,93,49
2020-10-10,757,42,94,51,75,51
2020-10-11,697,46,98,42,81,52
2020-10-12,878,71,98,67,110,42
2020-10-13,781,57,90,52,114,34
2020-10-14,807,55,103,45,120,45
2020-10-15,829,54,95,49,121,48
2020-10-16,802,49,113,51,109,41
2020-10-17,750,44,94,52,91,67
2020-10-18,799,60,102,56,109,56
2020-10-19,844,45,112,50,112,55
2020-10-20,748,39,92,40,97,57
2020-10-21,609,48,63,38,73,39
2020-10-22,620,45,71,41,95,43
2020-10-23,660,37,70,43,74,35
2020-10-24,648,33,71,40,89,35
2020-10-25,564,25,73,37,72,43
2020-10-26,624,34,83,43,84,37
2020-10-27,547,41,66,47,80,25
2020-10-28,507,36,44,33,62,25
2020-10-29,481,32,46,29,57,34
2020-10-30,450,30,40,34,45,26
2020-10-31,340,27,28,24,52,25
2020-11-01,472,26,47,35,47,33
2020-11-02,475,23,50,37,71,25
2020-11-03,409,19,36,30,42,23
2020-11-04,382,23,31,24,38,24
2020-11-05,312,17,39,19,33,16
2020-11-06,322,13,36,24,42,12
2020-11-07,302,18,22,26,29,23
2020-11-08,309,16,21,23,40,19
2020-11-09,332,16,24,17,49,22
2020-11-10,267,13,19,20,26,17
2020-11-11,263,18,25,11,32,13
2020-11-12,257,12,30,14,19,13
2020-11-13,257,17,12,18,30,18
2020-11-14,223,11,13,22,28,15
2020-11-15,219,12,19,18,23,17
2020-11-16,209,10,18,14,28,12
2020-11-17,196,13,13,11,19,9
2020-11-18,157,9,10,14,12,14
2020-11-19,180,5,14,19,34,9
2020-11-20,158,5,15,11,24,4
2020-11-21,127,5,5,13,15,5
2020-11-22,149,10,13,11,13,3
2020-11-23,141,13,13,8,22,2
2020-11-24,159,6,17,10,23,7
2020-11-25,132,7,16,12,14,2
2020-11-26,126,8,7,16,9,5
2020-11-27,125,5,7,6,19,7
2020-11-28,137,10,8,14,14,9
2020-11-29,134,5,11,6,19,11
2020-11-30,123,6,3,13,13,8
2020-12-01,133,2,8,11,10,8
2020-12-02,86,10,0,9,5,3
2020-12-03,72,1,2,3,2,3
2020-12-04,71,6,4,8,4,4
2020-12-05,101,3,6,7,13,1
2020-12-06,77,5,3,6,11,3
2020-12-07,96,6,10,5,10,6
2020-12-08,90,4,4,7,11,6
2020-12-09,93,4,6,4,11,4
2020-12-10,102,9,6,7,13,5
2020-12-11,119,7,8,9,16,5
2020-12-12,86,4,6,6,10,7
2020-12-13,93,5,8,5,12,5
2020-12-14,88,4,5,5,8,7
2020-12-15,85,6,9,5,10,7
2020-12-16,80,5,6,3,7,5
2020-12-17,82,4,10,7,7,4
2020-12-18,87,3,4,7,8,12
2020-12-19,95,7,9,8,7,4
2020-12-20,98,8,6,9,8,11
2020-12-21,83,6,2,7,17,8
2020-12-22,86,10,3,4,8,14
2020-12-23,90,8,7,9,18,7
2020-12-24,91,5,2,8,7,6
2020-12-25,93,8,4,7,12,5
2020-12-26,116,11,7,6,19,5
2020-12-27,103,3,3,8,13,4
2020-12-28,135,9,9,12,9,7
2020-12-29,82,9,3,4,11,8
2020-12-30,117,10,9,5,16,9
2020-12-31,113,6,6,4,12,11
2021-01-01,139,10,8,10,16,11
2021-01-02,135,5,15,10,11,12
2021-01-03,137,17,13,8,12,15
2021-01-04,171,14,12,8,20,17
2021-01-05,133,10,11,2,21,11
2021-01-06,131,15,8,11,15,15
2021-01-07,135,16,3,11,13,9
2021-01-08,117,10,11,10,14,11
2021-01-09,112,11,14,7,15,8
2021-01-10,148,11,9,13,13,20
2021-01-11,146,8,10,17,20,15
2021-01-12,146,18,11,11,16,12
2021-01-13,122,13,11,8,12,10
2021-01-14,113,10,12,11,12,8
2021-01-15,132,14,12,12,19,12
2021-01-16,126,10,11,14,14,13
2021-01-17,101,15,10,12,12,6
2021-01-18,147,14,12,14,15,10
2021-01-19,108,12,13,11,4,7
2021-01-20,107,11,5,6,12,7
2021-01-21,88,7,6,7,8,9
2021-01-22,106,14,7,11,7,11
2021-01-23,92,7,9,5,13,11
2021-01-24,95,9,12,6,16,9
2021-01-25,114,6,8,3,17,9
2021-01-26,107,12,7,7,12,10
2021-01-27,104,10,6,4,16,9
2021-01-28,128,10,6,8,14,14
2021-01-29,118,8,11,14,16,7
2021-01-30,117,11,3,10,14,11
2021-01-31,109,12,6,6,21,4
2021-02-01,146,15,11,11,13,10
2021-02-02,111,7,2,8,15,1
2021-02-03,106,11,10,8,18,5
2021-02-04,98,6,10,6,10,7
2021-02-05,111,9,10,17,12,6
2021-02-06,122,9,15,5,17,8
2021-02-07,101,3,10,5,11,7
2021-02-08,123,3,13,11,8,8
2021-02-09,102,11,8,7,13,4
2021-02-10,111,12,8,11,10,10
2021-02-11,103,7,4,8,19,4
2021-02-12,100,9,6,4,10,10
2021-02-13,97,7,10,4,15,9
2021-02-14,115,7,12,4,11,11
2021-02-15,120,9,9,4,17,5
2021-02-16,137,10,16,12,9,6
2021-02-17,120,11,5,15,14,7
2021-02-18,119,7,9,13,9,10
2021-02-19,131,8,11,15,22,12
2021-02-20,132,16,12,11,16,8
2021-02-21,131,9,21,14,15,5
2021-02-22,141,8,7,13,15,10
2021-02-23,113,9,11,6,22,8
2021-02-24,117,11,24,7,15,10
2021-02-25,147,16,8,10,26,8
2021-02-26,128,9,18,14,19,17
2021-02-27,125,12,17,6,11,14
2021-02-28,137,17,7,9,18,6
2021-03-01,142,14,12,9,25,15
2021-03-02,146,8,13,14,22,6
2021-03-03,154,9,11,23,20,9
2021-03-04,152,14,19,17,16,15
2021-03-05,146,17,10,13,20,6
2021-03-06,139,16,13,18,25,5
2021-03-07,146,10,15,21,26,12
2021-03-08,186,19,20,29,38,7
2021-03-09,136,12,13,20,24,7
2021-03-10,155,13,14,19,22,15
2021-03-11,153,13,9,15,29,12
2021-03-12,174,11,16,25,29,17
2021-03-13,129,10,12,13,21,15
2021-03-14,175,13,23,12,26,14
2021-03-15,191,20,15,15,33,17
2021-03-16,184,17,16,17,24,14
2021-03-17,196,23,25,19,30,12
2021-03-18,180,13,21,13,42,14
2021-03-19,195,19,24,17,34,15
2021-03-20,199,18,16,18,32,15
2021-03-21,236,23,28,23,35,11
2021-03-22,296,36,23,39,50,18
2021-03-23,322,34,25,43,42,21
2021-03-24,326,36,27,39,57,15
2021-03-25,357,41,30,42,50,26
2021-03-26,376,35,38,36,68,22
2021-03-27,407,41,35,41,68,23
2021-03-28,458,44,64,45,65,29
2021-03-29,585,67,56,70,81,19
2021-03-30,599,58,48,67,106,19
2021-03-31,605,62,55,56,101,45
2021-04-01,803,77,72,97,145,72
2021-04-02,892,73,97,94,127,46
2021-04-03,787,75,76,75,129,45
2021-04-04,884,95,71,90,132,50
2021-04-05,990,90,108,87,149,47
2021-04-06,873,76,74,87,137,52
2021-04-07,846,73,94,102,137,38
2021-04-08,850,57,102,82,142,40
2021-04-09,876,84,90,85,128,51
2021-04-10,849,72,75,84,112,66
2021-04-11,833,64,88,75,127,48
2021-04-12,1034,95,94,87,153,43
2021-04-13,948,88,110,69,135,49
2021-04-14,869,69,79,89,135,44
2021-04-15,973,74,98,93,137,49
2021-04-16,979,84,91,107,104,54
2021-04-17,879,74,84,91,123,47
2021-04-18,949,70,111,84,118,62
2021-04-19,913,58,100,91,123,59
2021-04-20,879,70,87,68,129,54
2021-04-21,768,68,79,68,118,33
2021-04-22,756,47,78,64,111,51
2021-04-23,771,47,74,57,88,54
2021-04-24,710,52,65,55,92,47
2021-04-25,724,44,82,53,93,47
2021-04-26,752,58,63,62,89,42
2021-04-27,789,43,81,73,97,35
2021-04-28,743,43,69,80,99,29
2021-04-29,707,43,103,51,98,36
2021-04-30,757,40,70,65,89,34
2021-05-01,726,44,70,68,97,54
2021-05-02,764,53,94,81,93,34
2021-05-03,791,45,87,65,98,50
2021-05-04,745,61,71,70,94,36
2021-05-05,742,39,90,65,95,33
2021-05-06,703,32,64,63,85,38
2021-05-07,800,41,84,48,91,47
2021-05-08,720,34,77,63,87,39
2021-05-09,880,55,92,61,101,38
2021-05-10,973,42,93,83,124,57
2021-05-11,896,49,78,77,84,55
2021-05-12,865,35,93,72,123,51
2021-05-13,852,38,76,60,119,39
2021-05-14,918,44,80,63,126,59
2021-05-15,951,42,76,80,93,77
2021-05-16,986,38,66,61,101,78
2021-05-17,954,43,86,66,126,53
2021-05-18,825,38,74,64,99,45
2021-05-19,817,33,74,62,94,40
2021-05-20,830,41,73,59,107,53
2021-05-21,701,18,68,50,76,42
2021-05-22,727,36,53,56,64,55
2021-05-23,765,42,58,70,97,46
2021-05-24,804,36,68,50,86,64
2021-05-25,854,48,77,67,98,43
2021-05-26,801,46,65,67,82,42
2021-05-27,703,36,62,49,79,39
2021-05-28,781,46,50,46,62,49
2021-05-29,637,26,52,41,65,44
2021-05-30,684,40,54,43,83,46
2021-05-31,727,38,50,65,53,59
2021-06-01,751,38,50,49,89,59
2021-06-02,638,27,61,40,69,41
2021-06-03,598,24,49,40,81,33
2021-06-04,660,35,46,39,86,36
2021-06-05,595,30,52,43,78,36
2021-06-06,660,36,47,45,75,35
2021-06-07,684,34,61,40,78,45
2021-06-08,627,26,69,39,71,30
2021-06-09,580,31,65,37,70,30
2021-06-10,636,36,60,46,74,24
2021-06-11,596,25,47,39,69,21
2021-06-12,556,34,39,38,55,28
2021-06-13,579,27,58,42,62,22
2021-06-14,547,26,58,33,56,28
2021-06-15,571,30,57,28,44,22
2021-06-16,488,26,45,37,52,19
2021-06-17,474,24,52,32,58,16
2021-06-18,526,35,60,25,54,20
2021-06-19,530,28,42,43,45,24
2021-06-20,578,38,68,45,65,32
2021-06-21,618,27,67,53,71,28
2021-06-22,610,39,62,53,62,23
2021-06-23,563,35,55,36,57,26
2021-06-24,552,33,60,44,69,17
2021-06-25,551,25,63,36,64,23
2021-06-26,532,34,53,50,65,27
2021-06-27,545,32,59,55,57,23
2021-06-28,564,42,50,40,64,21
2021-06-29,504,29,46,46,55,16
2021-06-30,505,33,44,39,48,16
2021-07-01,511,30,47,35,58,22
2021-07-02,481,22,27,32,59,17
2021-07-03,366,23,27,27,37,19
2021-07-04,405,25,31,22,54,19
2021-07-05,444,23,31,29,52,15
2021-07-06,464,26,47,29,49,11
2021-07-07,426,20,39,28,59,20
2021-07-08,483,28,45,34,59,24
2021-07-09,431,29,32,17,53,10
2021-07-10,474,29,36,29,57,25
2021-07-11,418,26,40,30,46,19
2021-07-12,476,32,44,23,43,20
2021-07-13,413,28,45,19,54,22
2021-07-14,369,20,31,35,49,21
2021-07-15,347,19,52,31,41,10
2021-07-16,330,28,29,21,46,10
2021-07-17,340,24,46,23,35,9
2021-07-18,378,25,40,19,57,11
2021-07-19,396,24,44,24,57,5
2021-07-20,397,22,51,30,44,11
2021-07-21,349,26,49,22,38,7
2021-07-22,389,23,50,34,50,10
2021-07-23,405,35,43,28,46,14
2021-07-24,378,33,44,23,53,12
2021-07-25,427,38,47,32,56,9
2021-07-26,443,34,44,29,60,20
2021-07-27,397,26,49,29,48,7
2021-07-28,378,24,34,26,48,14
2021-07-29,369,12,38,37,44,8
2021-07-30,366,31,48,25,50,10
2021-07-31,335,22,57,14,49,6
2021-08-01,383,33,37,27,52,4
2021-08-02,348,31,43,22,43,12
2021-08-03,344,19,39,14,51,6
2021-08-04,272,21,40,17,41,7
2021-08-05,274,13,44,18,34,10
2021-08-06,251,16,28,12,32,5
2021-08-07,243,13,30,21,34,7
2021-08-08,238,16,34,16,35,4
2021-08-09,259,20,29,13,27,9
2021-08-10,254,23,32,17,33,10
2021-08-11,233,18,26,14,34,7
2021-08-12,194,17,20,11,27,7
2021-08-13,207,14,21,7,31,8
2021-08-14,198,14,27,11,29,9
2021-08-15,181,14,24,9,27,8
2021-08-16,236,18,30,17,29,13
2021-08-17,206,14,33,14,30,8
2021-08-18,208,13,25,12,34,10
2021-08-19,182,17,20,14,24,5
2021-08-20,237,24,27,8,29,12
2021-08-21,176,13,23,12,25,8
2021-08-22,188,14,25,14,27,4
2021-08-23,174,11,21,16,28,5
2021-08-24,190,15,23,19,21,7
2021-08-25,170,10,24,12,20,8
2021-08-26,174,12,34,12,22,8
2021-08-27,132,13,16,11,16,9
2021-08-28,152,11,18,16,19,1
2021-08-29,148,11,22,12,21,2
2021-08-30,128,7,17,8,13,5
2021-08-31,112,9,15,7,14,1
2021-09-01,107,6,14,10,15,1
2021-09-02,109,10,12,6,11,2
2021-09-03,91,10,12,6,8,1
2021-09-04,90,6,10,2,12,1
2021-09-05,89,8,10,4,5,1
2021-09-06,72,3,4,5,8,3
2021-09-07,59,6,3,3,4,1
2021-09-08,54,2,7,1,4,0
2021-09-09,47,1,7,0,2,2
2021-09-10,51,2,5,3,6,3
2021-09-11,40,3,3,1,4,3
2021-09-12,44,2,2,3,10,1
2021-09-13,36,1,4,1,6,1
2021-09-14,39,1,6,0,8,1
2021-09-15,28,3,4,2,3,0
2021-09-16,31,2,4,0,9,1
2021-09-17,18,2,3,2,6,0
2021-09-18,25,0,3,1,5,1
2021-09-19,13,1,3,1,0,1
2021-09-20,22,0,2,1,5,3
2021-09-21,25,0,7,2,5,1
2021-09-22,22,0,4,0,6,2
2021-09-23,14,1,2,1,2,3
2021-09-24,13,0,2,1,1,0
2021-09-25,20,1,2,4,3,0
2021-09-26,19,2,4,1,3,0
2021-09-27,22,2,3,2,4,0
2021-09-28,16,1,2,2,3,0
2021-09-29,35,5,6,6,9,0
2021-09-30,25,4,8,1,6,0
2021-10-01,20,2,3,0,4,0
2021-10-02,25,5,0,2,8,3
2021-10-03,22,1,4,6,3,0
2021-10-04,17,2,1,3,7,1
2021-10-05,26,2,5,1,7,0
2021-10-06,22,2,2,1,4,1
2021-10-07,6,0,0,0,0,0
2021-10-08,9,0,0,1,3,0
2021-10-09,10,1,0,1,1,1
2021-10-10,11,1,2,1,2,0
2021-10-11,11,1,1,1,1,0
2021-10-12,5,0,0,1,1,0
2021-10-13,14,1,3,3,1,1
2021-10-14,12,2,0,3,2,0
2021-10-15,10,0,3,1,1,0
2021-10-16,7,1,0,1,1,0
2021-10-17,9,1,2,0,1,0
2021-10-18,9,1,0,0,2,0
2021-10-19,8,4,1,0,0,0
2021-10-20,3,0,0,0,2,0
2021-10-21,5,2,0,1,1,0
